Sex,Fare,Ticket,Pclass,SibSp_sqrt,Survived
male,8.05,SOTON/OQ 392089,3,0.0,1
male,13.0,220367,2,0.0,0
male,8.05,21440,3,0.0,0
male,7.8958,349234,3,0.0,0
male,90.0,19943,1,1.0,1
male,9.35,PP 4348,3,0.0,0
male,10.5,SW/PP 751,2,0.0,1
male,7.25,A/5 21173,3,0.0,0
male,13.0,236171,2,0.0,0
female,25.4667,4133,3,1.7320508,0
female,83.475,36973,1,1.0,1
male,7.775,347067,3,0.0,0
male,13.5,237442,2,0.0,0
female,31.3875,347077,3,2.0,1
male,10.5,C.A. 29566,2,0.0,0
female,7.55,W./C. 6609,3,0.0,0
male,26.0,26707,2,1.0,0
female,26.25,C.A. 31921,2,0.0,1
male,10.5,28665,2,0.0,0
male,12.275,SCO/W 1585,2,0.0,0
female,14.4542,2665,3,1.0,0
female,15.5,367230,3,1.0,1
male,10.5,W./C. 14263,2,0.0,0
male,7.125,STON/O 2. 3101275,3,0.0,0
male,7.225,2694,3,0.0,0
male,90.0,19928,1,1.4142135,0
female,7.775,347071,3,0.0,0
female,14.5,250649,2,0.0,1
male,52.5542,11751,1,1.0,1
male,26.0,244252,2,1.0,0
male,7.25,362316,3,0.0,0
female,10.4625,347054,3,1.0,0
male,26.55,113514,1,0.0,0
male,16.1,A/5. 3336,3,1.0,0
female,20.2125,370129,3,0.0,0
female,15.2458,2650,3,0.0,1
female,79.2,PC 17585,1,0.0,1
female,86.5,110152,1,0.0,1
female,512.3292,PC 17755,1,0.0,1
female,26.0,230433,2,0.0,1
male,7.75,384461,3,0.0,0
male,31.3875,347077,3,2.0,1
male,79.65,110413,1,1.0,0
male,0.0,112059,1,0.0,0
female,7.75,382649,3,0.0,0
male,10.5,C.A. 17248,2,0.0,0
male,39.6875,3101295,3,2.0,0
male,7.775,347083,3,1.0,1
female,153.4625,PC 17582,1,0.0,1
female,135.6333,PC 17760,1,0.0,1
male,31.0,113798,1,0.0,0
male,0.0,LINE,3,0.0,1
female,19.5,250644,2,0.0,1
male,29.7,PC 17596,1,0.0,0
female,7.75,370375,3,0.0,1
female,77.9583,13502,1,1.0,1
female,7.75,347073,3,0.0,0
male,0.0,239853,2,0.0,0
male,29.125,382652,3,2.0,0
female,20.25,C.A. 2673,3,1.0,1
male,7.75,336439,3,0.0,0
male,7.8542,347464,3,0.0,0
male,9.5,345778,3,0.0,0
male,8.05,A/5. 10482,3,0.0,1
male,26.0,113056,1,0.0,0
male,8.6625,349239,3,0.0,0
male,9.5,345774,3,0.0,1
male,7.8958,349206,3,0.0,0
male,13.0,237798,2,0.0,1
female,7.75,370373,3,0.0,1
female,78.85,19877,1,0.0,1
female,91.0792,11967,1,1.0,1
male,12.875,SC/Paris 2163,2,0.0,0
female,8.85,349236,3,0.0,0
male,7.8958,349233,3,0.0,0
male,27.7208,PC 17612,1,0.0,0
male,7.2292,2693,3,0.0,0
female,151.55,113781,1,1.0,0
male,30.5,19988,1,0.0,1
female,247.5208,PC 17558,1,0.0,1
female,7.75,9234,3,0.0,1
male,23.25,367226,3,1.4142135,1
male,0.0,LINE,3,0.0,0
female,12.35,226593,2,0.0,1
male,8.05,A/5 2466,3,0.0,0
male,151.55,113781,1,1.0,1
female,110.8833,17421,1,0.0,1
female,108.9,PC 17758,1,1.0,1
male,24.0,P/PP 3381,2,1.0,0
female,56.9292,PC 17485,1,0.0,1
female,83.1583,11767,1,0.0,1
female,262.375,PC 17608,1,1.4142135,1
female,26.0,250651,2,1.0,0
male,7.8958,349243,3,0.0,0
male,26.25,F.C.C. 13529,2,1.0,0
female,7.8542,347470,3,0.0,1
female,26.0,244367,2,1.0,1
male,14.0,29011,2,0.0,0
female,164.8667,36928,1,0.0,1
female,134.5,16966,1,1.0,1
male,7.25,A/5 21172,3,0.0,0
male,7.8958,349219,3,0.0,0
female,12.35,234818,2,0.0,1
female,29.0,248738,2,1.0,1
male,69.55,CA. 2343,3,2.828427,0
female,135.6333,PC 17760,1,0.0,1
male,6.2375,345364,3,0.0,0
female,13.0,28551,2,0.0,1
female,20.525,363291,3,1.0,1
female,57.9792,111361,1,0.0,1
female,23.25,367226,3,1.4142135,1
male,28.5,113043,1,0.0,0
male,153.4625,PC 17582,1,0.0,0
male,18.0,345764,3,1.4142135,0
female,133.65,PC 17611,1,1.0,1
male,7.8958,349225,3,0.0,0
male,66.6,113776,1,1.0,0
female,134.5,16966,1,0.0,1
male,8.05,7598,3,0.0,1
male,35.5,113784,1,0.0,0
male,26.0,230080,2,1.0,1
female,263.0,19950,1,1.7320508,1
male,13.0,248740,2,0.0,0
male,13.0,244361,2,0.0,0
male,13.0,229236,2,0.0,0
female,13.0,248733,2,0.0,1
female,13.0,31418,2,0.0,1
female,16.1,386525,3,1.0,1
male,15.9,C.A. 37671,3,1.0,1
male,8.6625,315088,3,0.0,0
male,9.225,7267,3,0.0,0
male,35.0,113510,1,0.0,0
male,7.2292,2695,3,1.0,0
male,17.8,349237,3,1.0,0
male,7.225,2647,3,0.0,0
male,9.5,345783,3,0.0,0
female,55.0,113505,1,0.0,1
female,13.0,237671,2,0.0,0
female,7.8792,330931,3,0.0,1
female,7.8792,330980,3,0.0,1
male,27.9,347088,3,1.0,0
male,27.7208,SC/PARIS 2167,2,1.0,0
female,14.4542,2691,3,0.0,0
male,7.05,SOTON/O.Q. 3101310,3,0.0,0
male,15.5,370365,3,1.0,0
male,7.25,C 7076,3,0.0,0
female,75.25,110813,1,1.0,1
female,7.2292,2626,3,0.0,1
female,7.75,14313,3,0.0,1
female,69.3,PC 17477,1,0.0,1
male,55.4417,11765,1,1.0,1
male,6.4958,3101267,3,1.0,0
male,8.05,323951,3,0.0,0
male,135.6333,PC 17760,1,0.0,0
female,21.075,349909,3,1.7320508,0
female,82.1708,PC 17604,1,1.0,1
female,7.25,C 7077,3,0.0,1
male,211.5,113503,1,0.0,0
male,4.0125,2648,3,0.0,0
male,7.775,347069,3,0.0,0
female,227.525,PC 17757,1,0.0,1
female,15.7417,2653,3,0.0,1
male,7.925,STON/O 2. 3101293,3,0.0,0
female,52.0,113789,1,1.0,1
male,7.8958,349227,3,0.0,0
male,73.5,S.O.C. 14879,2,0.0,0
male,46.9,CA 2144,3,2.236068,0
female,13.0,27849,2,0.0,1
male,7.7292,367655,3,0.0,0
female,12.0,SC 1748,2,0.0,1
male,120.0,113760,1,1.0,1
male,7.7958,350034,3,0.0,1
male,7.925,3101277,3,1.4142135,0
female,113.275,35273,1,1.0,1
female,16.7,PP 9549,3,0.0,1
male,7.7958,350052,3,0.0,0
female,7.8542,350407,3,0.0,0
male,26.0,28403,2,0.0,0
male,10.5,244278,2,0.0,0
female,12.65,240929,2,0.0,1
male,7.925,STON/O 2. 3101289,3,0.0,1
male,8.05,341826,3,0.0,0
female,9.825,4137,3,1.0,0
male,15.85,STON/O2. 3101279,3,1.0,0
female,8.6625,315096,3,0.0,0
male,21.0,28664,2,1.0,0
male,7.75,347064,3,0.0,0
male,18.75,29106,2,1.0,1
male,7.775,312992,3,0.0,0
female,25.4667,4133,3,1.7320508,0
male,7.8958,349222,3,0.0,0
male,6.8583,394140,3,0.0,0
female,90.0,19928,1,1.0,1
male,0.0,239853,2,0.0,0
male,7.925,STON/O 2. 3101269,3,0.0,1
female,8.05,343095,3,0.0,0
female,32.5,28220,2,1.0,1
female,13.0,250652,2,0.0,1
male,13.0,28228,2,0.0,0
female,24.15,345773,3,0.0,0
male,7.8958,349254,3,0.0,0
male,7.7333,A/5. 13032,3,0.0,0
male,7.875,315082,3,0.0,0
female,14.4,347080,3,1.0,0
male,20.2125,370129,3,1.0,0
male,7.25,A/4. 34244,3,0.0,0
female,26.0,2003,2,1.0,1
female,26.0,250655,2,0.0,1
male,7.75,364851,3,0.0,0
male,8.05,SOTON/O.Q. 392078,3,0.0,1
male,26.55,110564,1,0.0,1
female,16.1,376564,3,1.0,1
female,26.0,SC/AH 3085,2,1.0,1
male,7.125,STON/O 2. 3101274,3,0.0,0
male,55.9,13507,1,1.0,0
female,120.0,113760,1,1.0,1
female,34.375,W./C. 6608,3,1.4142135,0
female,18.75,29106,2,1.4142135,1
male,263.0,19950,1,1.0,0
male,10.5,C.A. 18723,2,0.0,0
female,26.25,F.C.C. 13529,2,1.0,1
male,9.5,345769,3,0.0,0
male,7.775,347076,3,1.0,0
female,13.0,230434,2,0.0,1
male,8.1125,65306,3,0.0,1
male,81.8583,33638,1,0.0,1
female,19.5,250644,2,0.0,1
male,26.55,113794,1,0.0,1
female,19.2583,2666,3,1.4142135,1
male,30.5,113786,1,0.0,1
male,27.75,C.A. 34651,2,1.0,0
male,19.9667,65303,3,1.0,0
male,27.75,113051,1,0.0,0
male,89.1042,17453,1,1.0,1
male,8.05,A/5 2817,3,0.0,0
male,7.8958,349240,3,0.0,1
male,26.55,13509,1,0.0,0
female,51.8625,17464,1,1.0,1
female,10.5,F.C.C. 13531,2,0.0,1
male,7.75,371060,3,0.0,0
male,26.55,19952,1,0.0,1
male,8.05,364506,3,0.0,0
male,38.5,111320,1,0.0,0
male,13.0,234360,2,0.0,0
male,8.05,A/S 2816,3,0.0,0
male,7.05,SOTON/O.Q. 3101306,3,0.0,0
male,0.0,239853,2,0.0,0
male,26.55,113792,1,0.0,0
male,7.725,36209,3,0.0,0
female,19.2583,2666,3,1.4142135,1
male,7.25,323592,3,0.0,0
male,8.6625,315089,3,0.0,0
female,27.75,C.A. 34651,2,1.0,1
female,13.7917,SC/AH Basle 541,2,0.0,1
female,9.8375,7553,3,0.0,0
male,52.0,110465,1,0.0,0
male,21.0,31027,2,1.0,0
male,7.0458,3460,3,1.0,0
male,7.5208,350060,3,0.0,0
female,12.2875,3101298,3,0.0,1
male,46.9,CA 2144,3,2.236068,0
male,0.0,239854,2,0.0,0
male,8.05,A/5 3594,3,0.0,0
female,9.5875,4134,3,0.0,1
male,91.0792,11967,1,1.0,1
female,25.4667,4133,3,1.7320508,0
female,90.0,19943,1,1.0,1
male,29.7,11771,1,0.0,0
male,8.05,A.5. 18509,3,0.0,0
male,15.9,C.A. 37671,3,1.0,1
male,19.9667,65304,3,1.0,0
male,7.25,SOTON/OQ 3101317,3,0.0,0
male,30.5,113787,1,0.0,0
male,49.5042,PC 17609,1,0.0,0
male,8.05,A/4 45380,3,0.0,0
male,14.4583,2627,3,0.0,0
female,78.2667,36947,1,1.0,1
male,15.1,C.A. 6212,3,0.0,0
female,151.55,113781,1,1.0,0
male,7.7958,350035,3,0.0,0
male,8.6625,315086,3,0.0,0
female,7.75,364846,3,0.0,0
female,7.6292,330909,3,0.0,0
female,9.5875,4135,3,0.0,0
female,86.5,110152,1,0.0,1
male,108.9,PC 17758,1,1.0,0
female,26.0,26360,2,0.0,1
male,26.55,111427,1,0.0,1
male,22.525,C 4001,3,0.0,0
male,56.4958,1601,3,0.0,1
male,7.75,382651,3,0.0,1
male,8.05,SOTON/OQ 3101316,3,0.0,0
male,26.2875,PC 17473,1,0.0,1
female,59.4,PC 17603,1,1.0,1
male,7.4958,349209,3,0.0,0
male,34.0208,36967,1,0.0,0
female,10.5,C.A. 34260,2,0.0,1
male,24.15,371110,3,0.0,0
female,26.0,226875,2,1.0,1
male,7.8958,349242,3,0.0,0
female,93.5,12749,1,0.0,1
male,7.8958,349252,3,0.0,0
male,7.225,2624,3,0.0,0
female,57.9792,111361,1,0.0,1
male,7.2292,2700,3,0.0,0
male,7.75,367232,3,0.0,0
female,10.5,W./C. 14258,2,0.0,1
male,221.7792,PC 17483,1,0.0,0
male,7.925,3101296,3,0.0,0
male,11.5,29104,2,1.4142135,0
female,26.0,26360,2,1.0,1
male,7.2292,2641,3,0.0,0
male,7.2292,2690,3,1.0,0
female,22.3583,2668,3,0.0,1
female,8.6625,315084,3,0.0,0
female,26.25,F.C.C. 13529,2,0.0,1
male,26.55,113050,1,0.0,0
female,106.425,PC 17761,1,0.0,1
male,14.5,364498,3,0.0,0
female,49.5,13568,1,0.0,1
female,71.0,WE/P 5735,1,0.0,1
female,31.275,347082,3,2.0,0
female,31.275,347082,3,2.0,0
male,26.0,2908,2,1.0,1
male,106.425,PC 17761,1,1.0,0
male,26.0,693,1,0.0,0
female,26.0,2908,2,1.0,1
male,13.8625,SC/PARIS 2146,2,0.0,1
male,20.525,363291,3,1.0,0
male,36.75,C.A. 33112,2,1.0,1
male,110.8833,17421,1,0.0,1
male,26.0,244358,2,0.0,0
male,7.8292,330979,3,0.0,0
male,7.225,2620,3,0.0,1
female,7.775,347085,3,0.0,1
male,26.55,113807,1,0.0,0
female,39.6,11755,1,1.0,1
male,227.525,PC 17757,1,0.0,0
female,79.65,110413,1,1.0,1
female,17.4,345572,3,1.0,1
male,7.75,372622,3,0.0,0
male,7.8958,349251,3,0.0,0
male,13.5,218629,2,0.0,0
male,8.05,SOTON/OQ 392082,3,0.0,0
female,8.05,SOTON/O.Q. 392087,3,0.0,0
male,24.15,A/4 48871,3,1.4142135,0
male,7.8958,349205,3,0.0,0
female,21.075,349909,3,0.0,0
male,7.2292,2686,3,0.0,0
male,7.8542,350417,3,0.0,1
male,10.5,S.W./PP 752,2,0.0,1
female,51.4792,11769,1,1.4142135,1
male,26.3875,PC 17474,1,0.0,1
female,7.75,14312,3,0.0,1
male,8.05,A/4. 20589,3,0.0,0
male,14.5,358585,3,0.0,0
female,13.0,243880,2,0.0,1
female,55.9,13507,1,1.0,1
female,14.4583,2689,3,1.0,0
male,7.925,STON/O 2. 3101286,3,0.0,1
female,30.0,237789,2,1.0,1
female,110.8833,17421,1,1.0,1
male,26.0,28403,2,0.0,0
male,40.125,13049,1,0.0,0
male,8.7125,3411,3,0.0,0
female,79.65,110413,1,0.0,1
male,15.0,237565,2,0.0,0
male,79.2,13567,1,1.0,1
male,8.05,14973,3,0.0,0
male,8.05,A./5. 3235,3,0.0,0
male,7.125,STON/O 2. 3101273,3,0.0,0
female,78.2667,36947,1,1.0,1
male,7.25,A/5 3902,3,0.0,0
female,7.75,364848,3,0.0,0
male,26.0,SC/AH 29037,2,1.0,0
male,24.15,345773,3,1.0,0
female,33.0,248727,2,0.0,1
male,0.0,LINE,3,0.0,0
male,7.225,2664,3,0.0,0
male,56.9292,PC 17485,1,1.0,1
female,27.0,243847,2,1.4142135,1
male,7.8958,349214,3,0.0,0
male,42.4,113796,1,0.0,0
male,8.05,364511,3,0.0,0
male,26.55,111426,1,0.0,1
male,15.55,349910,3,1.0,0
male,7.8958,349246,3,0.0,0
male,30.5,113804,1,0.0,1
female,41.5792,SC/Paris 2123,2,1.0,1
female,153.4625,PC 17582,1,0.0,1
female,31.275,347082,3,1.0,0
male,7.05,SOTON/O.Q. 3101305,3,0.0,0
female,15.5,367230,3,1.0,1
male,7.75,370377,3,0.0,0
male,8.05,364512,3,0.0,0
female,65.0,220845,2,1.0,1
male,14.4,347080,3,1.0,0
female,16.1,A/5. 3336,3,1.0,0
female,39.0,230136,2,1.4142135,1
male,10.5,31028,2,0.0,0
male,14.4542,2659,3,1.0,0
male,52.5542,11753,1,1.0,1
male,15.7417,2653,3,1.0,1
male,7.8542,350029,3,0.0,0
male,16.1,54636,3,0.0,0
male,32.3208,36963,1,0.0,0
male,12.35,219533,2,0.0,0
female,77.9583,13502,1,0.0,1
male,7.8958,349224,3,0.0,0
male,7.7333,334912,3,0.0,0
male,30.0,27042,1,0.0,1
male,7.0542,347743,3,0.0,0
male,30.5,13214,1,0.0,1
male,0.0,112052,1,0.0,0
female,27.9,347088,3,1.7320508,0
female,13.0,237668,2,0.0,1
male,7.925,STON/O 2. 3101292,3,0.0,0
male,26.25,C.A. 31921,2,1.0,0
female,39.6875,3101295,3,0.0,0
male,16.1,376564,3,1.0,0
male,7.8542,350050,3,0.0,0
female,69.3,PC 17477,1,0.0,1
female,27.9,347088,3,1.7320508,0
male,56.4958,1601,3,0.0,1
female,19.2583,2666,3,1.4142135,1
male,76.7292,PC 17572,1,1.0,1
male,7.8958,349231,3,0.0,0
male,35.5,13213,1,0.0,1
male,7.55,S.O./P.P. 751,3,0.0,0
female,7.55,CA. 2314,3,0.0,1
male,7.8958,349221,3,0.0,0
female,23.0,231919,2,0.0,1
male,8.4333,8475,3,0.0,0
female,7.8292,330919,3,0.0,1
female,6.75,365226,3,0.0,0
male,73.5,S.O.C. 14879,2,1.4142135,0
male,7.8958,349223,3,0.0,0
female,15.5,364849,3,1.0,0
male,13.0,29751,2,0.0,0
male,113.275,35273,1,0.0,0
male,133.65,PC 17611,1,1.4142135,1
male,7.225,2623,3,0.0,0
male,25.5875,5727,1,0.0,0
male,7.4958,349210,3,0.0,0
male,7.925,STON/O 2. 3101285,3,1.0,1
male,73.5,S.O.C. 14879,2,1.4142135,0
male,13.0,234686,2,0.0,0
male,7.775,312993,3,0.0,0
male,8.05,A/5 3536,3,0.0,0
female,52.0,19996,1,1.0,1
female,39.0,29750,2,1.0,1
male,52.0,F.C. 12750,1,1.0,0
male,10.5,C.A. 24580,2,0.0,0
male,13.0,244270,2,0.0,1
male,0.0,239856,2,0.0,0
male,7.775,349912,3,0.0,0
male,8.05,342826,3,0.0,0
female,9.8417,4138,3,0.0,1
female,46.9,CA 2144,3,1.0,0
male,512.3292,PC 17755,1,0.0,1
female,8.1375,330935,3,0.0,0
male,76.7292,PC 17572,1,0.0,1
male,9.225,6563,3,0.0,0
male,46.9,CA 2144,3,2.236068,0
male,39.0,29750,2,1.0,0
male,41.5792,SC/Paris 2123,2,1.0,0
male,39.6875,3101295,3,2.0,0
male,10.1708,349228,3,0.0,0
male,7.7958,350036,3,0.0,0
female,211.3375,24160,1,0.0,1
male,57.0,17474,1,1.0,1
female,13.4167,349256,3,0.0,1
male,56.4958,1601,3,0.0,1
male,7.225,2672,3,0.0,0
male,26.55,113800,1,0.0,0
male,13.5,248731,2,0.0,0
male,8.05,363592,3,0.0,0
female,7.7333,35852,3,0.0,1
male,110.8833,17421,1,1.0,0
male,7.65,348121,3,0.0,0
female,227.525,PC 17757,1,1.0,1
male,26.2875,PC 17475,1,0.0,1
female,14.4542,2691,3,0.0,0
male,7.7417,36864,3,0.0,0
male,7.8542,350025,3,1.0,0
male,26.0,250655,2,0.0,0
female,13.5,223596,2,0.0,1
male,26.2875,PC 17476,1,0.0,1
female,151.55,113781,1,0.0,1
male,15.2458,2661,3,1.0,1
female,49.5042,PC 17482,1,0.0,1
male,26.55,113028,1,0.0,0
male,52.0,19996,1,1.0,1
male,9.4833,7545,3,0.0,0
male,13.0,250647,2,0.0,0
male,7.65,348124,3,0.0,0
female,227.525,PC 17757,1,0.0,1
female,10.5,34218,2,0.0,1
male,15.5,36568,3,0.0,0
male,7.775,347062,3,0.0,0
female,33.0,248727,2,0.0,1
male,7.0542,350048,3,1.0,0
male,13.0,12233,2,0.0,0
male,13.0,250643,2,0.0,0
male,53.1,113806,1,1.0,1
male,8.6625,315094,3,0.0,0
female,21.0,31027,2,1.7320508,1
female,7.7375,36866,3,0.0,1
male,26.0,236853,2,1.0,0
female,7.925,STON/O2. 3101271,3,1.0,0
female,211.3375,24160,1,0.0,1
male,18.7875,2699,3,0.0,0
male,0.0,239855,2,0.0,0
male,13.0,28425,2,0.0,0
male,13.0,233639,2,0.0,0
male,16.1,54636,3,0.0,0
female,34.375,W./C. 6608,3,1.0,0
male,512.3292,PC 17755,1,0.0,1
male,7.8958,349201,3,0.0,0
male,7.8958,349218,3,0.0,0
