Product ID,Product Name,Category,Category_Office Supplies,Category_Technology,Discount_sqrt,Sales_log,Sales_sqrt,Sales,Discount,Sub-Category
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,False,False,0.5477225575051661,4.28181948425685,8.448195073505346,71.372,0.3,Chairs
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,False,False,0.0,6.952374853558705,32.32073637774981,1044.63,0.0,Tables
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,True,False,0.4472135954999579,2.537499099907171,3.4129166412322465,11.648,0.2,Binders
TEC-AC-10003027,Easy-staple paper,Technology,False,True,0.0,4.517103707119641,9.516827202382103,90.57,0.0,Accessories
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,False,False,0.7071067811865476,8.034122154276439,55.52864125836324,3083.43,0.5,Bookcases
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,True,False,0.8366600265340756,2.36255067416148,3.101290054154884,9.618,0.7,Binders
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,False,False,0.4472135954999579,4.829912458665998,11.144505372604026,124.2,0.2,Furnishings
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,True,False,0.4472135954999579,1.4502076868635432,1.8066543665017945,3.264,0.2,Envelopes
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,True,False,0.4472135954999579,4.4693962808107885,9.289994617867118,86.304,0.2,Art
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,True,False,0.8366600265340756,2.061532121136268,2.6187783411354237,6.858,0.7,Binders
OFF-AR-10001683,Lumber Crayons,Office Supplies,True,False,0.4472135954999579,2.818995095053937,3.9698866482558417,15.76,0.2,Art
OFF-PA-10000249,Easy-staple paper,Office Supplies,True,False,0.4472135954999579,3.416808229176303,5.428812024743535,29.472,0.2,Paper
TEC-PH-10004977,GE 30524EE4,Technology,False,True,0.4472135954999579,7.001740945642436,33.12920162032282,1097.544,0.2,Phones
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,False,False,0.7745966692414834,5.257078618531439,13.8173803595327,190.92,0.6,Furnishings
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,True,False,0.4472135954999579,4.739071510179493,10.6455624557841,113.328,0.2,Envelopes
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,False,False,0.565685424949238,6.279270111934266,23.07377732405338,532.3992,0.32,Bookcases
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,False,False,0.5477225575051661,5.361564429111865,14.562211370530232,212.058,0.3,Chairs
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,False,True,0.4472135954999579,5.919345365229957,19.26572085337063,371.168,0.2,Phones
TEC-PH-10004093,Panasonic Kx-TS550,Technology,False,True,0.4472135954999579,4.998346765120501,12.131281877856107,147.168,0.2,Phones
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,True,False,0.0,4.36792771029438,8.824964589164082,77.88,0.0,Storage
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,True,False,0.4472135954999579,4.570744358973074,9.778343417982414,95.616,0.2,Storage
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,False,True,0.0,3.849721979230767,6.780855403265874,45.98,0.0,Accessories
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,True,False,0.0,2.9156062290747062,4.178516483155236,17.46,0.0,Binders
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,True,False,0.0,5.361104354646802,14.558846108122715,211.96,0.0,Storage
TEC-AC-10002167,Easy-staple paper,Technology,False,True,0.0,3.828641396489095,6.708203932499369,45.0,0.0,Accessories
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,False,True,0.0,3.126760535960395,4.669047011971501,21.8,0.0,Phones
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,True,False,0.0,3.6691868207682,6.182232606429492,38.22,0.0,Binders
OFF-LA-10002762,Avery 485,Office Supplies,True,False,0.0,4.333098961050458,8.670640114778147,75.18,0.0,Labels
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,False,False,0.0,1.9685099809725544,2.4819347291981715,6.16,0.0,Furnishings
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,False,False,0.0,4.5107496103686,9.486305919587457,89.99,0.0,Chairs
OFF-FA-10000304,Advantus Push Pins,Office Supplies,True,False,0.0,2.7887081041196646,3.906404996924922,15.26,0.0,Fasteners
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,False,True,0.0,6.938235986235724,32.0928340911176,1029.95,0.0,Phones
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,True,False,0.0,5.345010094540019,14.441606558828555,208.56,0.0,Storage
OFF-PA-10001569,Xerox 232,Office Supplies,True,False,0.0,3.5085558999826545,5.692099788303083,32.4,0.0,Paper
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,False,False,0.3162277660168379,5.769601425693419,17.872045210327776,319.41,0.1,Chairs
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,True,False,0.0,2.7447035187502458,3.815756805667783,14.56,0.0,Paper
TEC-AC-10002167,Easy-staple paper,Technology,False,True,0.0,3.4339872044851463,5.477225575051661,30.0,0.0,Accessories
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,True,False,0.4472135954999579,3.901568547524287,6.962758074211684,48.48,0.2,Binders
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,True,False,0.0,0.9858167945227652,1.296148139681572,1.68,0.0,Art
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,False,True,0.0,2.7067159780890733,3.738983819167984,13.98,0.0,Accessories
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,True,False,0.4472135954999579,3.2892970091639278,5.081731988210319,25.824,0.2,Binders
OFF-PA-10003892,Xerox 1943,Office Supplies,True,False,0.0,4.9953862833335165,12.11321592311472,146.73,0.0,Paper
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,False,False,0.0,4.391481793444637,8.930845424706442,79.76,0.0,Furnishings
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,False,False,0.5477225575051661,5.36651325386079,14.59845882276619,213.115,0.3,Chairs
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,True,False,0.4472135954999579,7.015733964240798,33.36201432767512,1113.024,0.2,Art
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,False,True,0.4472135954999579,5.129709347881841,12.960246911228197,167.968,0.2,Phones
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,True,False,0.0,4.342245764662037,8.710912696153027,75.88,0.0,Paper
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,True,False,0.4472135954999579,1.72561966672351,2.148487840319325,4.616,0.2,Binders
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,True,False,0.0,2.998229153752578,4.364630568559039,19.05,0.0,Paper
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,False,False,0.4472135954999579,6.724956808482918,28.84330078198402,831.936,0.2,Chairs
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,False,False,0.4472135954999579,4.585375558659912,9.8508882848198,97.04,0.2,Furnishings
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,True,False,0.4472135954999579,4.3011419059334175,8.5313539370958,72.784,0.2,Storage
OFF-BI-10004182,Economy Binders,Office Supplies,True,False,0.8944271909999159,0.8100409320314447,1.1171392035015153,1.248,0.8,Binders
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,False,False,0.7745966692414834,2.370991125658106,3.1157663583779835,9.708,0.6,Furnishings
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,True,False,0.4472135954999579,3.3407394126250414,5.219195340279955,27.24,0.2,Storage
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,False,False,0.7745966692414834,3.0106208860477417,4.39317652729776,19.3,0.6,Furnishings
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,True,False,0.0,5.34309950931993,14.427751037497147,208.16,0.0,Appliances
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,True,False,0.0,2.8758219768814333,4.091454509095756,16.74,0.0,Binders
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,True,False,0.0,2.766319109226186,3.8600518131237567,14.9,0.0,Art
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,True,False,0.0,3.108614430610664,4.624932431938871,21.39,0.0,Storage
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,True,False,0.4472135954999579,5.308188486343299,14.176882591035309,200.984,0.2,Envelopes
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,True,False,0.4472135954999579,5.444044092872437,15.17814217880436,230.376,0.2,Storage
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,False,False,0.0,5.713600783593539,17.376996288196644,301.96,0.0,Chairs
TEC-AC-10001998,Easy-staple paper,Technology,False,True,0.0,3.0440461338325417,4.471017781221631,19.99,0.0,Accessories
OFF-LA-10000134,Avery 511,Office Supplies,True,False,0.0,1.9685099809725544,2.4819347291981715,6.16,0.0,Labels
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,True,False,0.4472135954999579,5.071215993379483,12.58443483037677,158.368,0.2,Storage
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,True,False,0.0,3.0492730404820207,4.483302354291979,20.1,0.0,Art
TEC-PH-10004093,Panasonic Kx-TS550,Technology,False,True,0.4472135954999579,4.311926006994392,8.578111680317528,73.584,0.2,Phones
OFF-PA-10000304,Xerox 1995,Office Supplies,True,False,0.0,2.012232791986386,2.545584412271571,6.48,0.0,Paper
OFF-PA-10003177,Xerox 1999,Office Supplies,True,False,0.0,2.6361960973342264,3.6,12.96,0.0,Paper
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,False,False,0.0,3.9952606039982017,7.303423854604086,53.34,0.0,Furnishings
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,True,False,0.0,3.5251833614431467,5.74108003776293,32.96,0.0,Binders
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,True,False,0.8366600265340756,1.8994173439345647,2.3836946113124475,5.682,0.7,Binders
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,False,False,0.0,4.580160022983923,9.82496819333274,96.53,0.0,Furnishings
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,True,False,0.4472135954999579,3.957225790258975,7.163239490621544,51.312,0.2,Binders
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,True,False,0.0,4.36792771029438,8.824964589164082,77.88,0.0,Appliances
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,True,False,0.4472135954999579,4.183941482700448,8.038905398124797,64.624,0.2,Paper
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,False,True,0.4472135954999579,4.574463525208929,9.796734149705197,95.976,0.2,Accessories
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,True,False,0.8944271909999159,1.0253244928982777,1.3371611720357424,1.788,0.8,Binders
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,True,False,0.0,3.2156706939192525,4.890807704254994,23.92,0.0,Paper
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,False,True,0.4472135954999579,5.480205496092637,15.45626086736375,238.896,0.2,Accessories
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,False,False,0.4472135954999579,4.638218040034292,10.11731189595339,102.36,0.2,Furnishings
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,True,False,0.8366600265340756,3.6344760652345496,6.073055244273676,36.882,0.7,Binders
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,False,True,0.4472135954999579,4.318980332956246,8.608832673481347,74.112,0.2,Accessories
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,False,True,0.4472135954999579,3.367019929860569,5.290746639180523,27.992,0.2,Phones
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,True,False,0.4472135954999579,1.4595448228594834,1.817690842800282,3.304,0.2,Art
TEC-AC-10000844,Easy-staple paper,Technology,False,True,0.4472135954999579,5.831765168350307,18.438004230393265,339.96,0.2,Accessories
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,False,False,0.0,3.760269450200609,6.477653896280659,41.96,0.0,Furnishings
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,True,False,0.0,4.343285806357451,8.71550342780037,75.96,0.0,Art
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,True,False,0.0,3.3407394126250414,5.219195340279955,27.24,0.0,Binders
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,True,False,0.4472135954999579,3.715910793164967,6.332140238497565,40.096,0.2,Fasteners
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,True,False,0.4472135954999579,1.7439688053917064,2.172556098240043,4.72,0.2,Envelopes
OFF-PA-10004965,Xerox 1921,Office Supplies,True,False,0.4472135954999579,3.217915363773076,4.89652938314476,23.976,0.2,Paper
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,True,False,0.4472135954999579,4.8787330498789885,11.422083872919162,130.464,0.2,Envelopes
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,False,False,0.0,6.670170452603868,28.062964918197792,787.53,0.0,Tables
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,True,False,0.8366600265340756,5.067607764723911,12.561608177299592,157.794,0.7,Binders
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,False,False,0.0,3.872033997211783,6.858571279792899,47.04,0.0,Furnishings
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,True,False,0.0,3.460723360976182,5.5533773507659285,30.84,0.0,Binders
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,True,False,0.0,5.427413939882447,15.051910177781425,226.56,0.0,Storage
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,True,False,0.0,4.753762590037918,10.724737759031688,115.02,0.0,Envelopes
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,False,True,0.0,4.234686046775173,8.248636250920512,68.04,0.0,Phones
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,False,False,0.5477225575051661,6.399522956368744,24.506284908161824,600.558,0.3,Chairs
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,False,False,0.7071067811865476,6.427620502536943,24.85357117196641,617.7,0.5,Tables
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,True,False,0.8366600265340756,1.220239776789808,1.5453155017665483,2.388,0.7,Binders
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,True,False,0.4472135954999579,5.50122555695038,15.620243275954444,243.992,0.2,Storage
FUR-CH-10001146,"Global Task Chair, Black",Furniture,False,False,0.4472135954999579,4.411876656642767,9.023524810183655,81.424,0.2,Chairs
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,False,False,0.0,5.478803907396261,15.445387661046258,238.56,0.0,Furnishings
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,False,True,0.6324555320336759,4.110381939919725,7.744029958619737,59.97,0.4,Phones
OFF-PA-10002377,Xerox 1916,Office Supplies,True,False,0.4472135954999579,4.3732885687305965,8.848954740532918,78.304,0.2,Paper
OFF-FA-10002780,Staples,Office Supplies,True,False,0.4472135954999579,3.1115578390595813,4.632062175748508,21.456,0.2,Fasteners
OFF-PA-10001804,Xerox 195,Office Supplies,True,False,0.0,3.046425387869509,4.476605857119878,20.04,0.0,Paper
OFF-PA-10001736,Xerox 1880,Office Supplies,True,False,0.0,3.5956670723917576,5.953150426454887,35.44,0.0,Paper
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,True,False,0.0,2.5273273656719524,3.394112549695428,11.52,0.0,Art
OFF-FA-10002988,Ideal Clamps,Office Supplies,True,False,0.0,1.6134299337036375,2.004993765576342,4.02,0.0,Fasteners
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,True,False,0.4472135954999579,4.346088527868252,8.727886342064727,76.176,0.2,Binders
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,True,False,0.0,4.202899968776446,8.11664955508121,65.88,0.0,Supplies
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,False,False,0.0,3.786913194385302,6.566582063752802,43.12,0.0,Furnishings
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,False,False,0.4472135954999579,4.428433007488037,9.09945053286186,82.8,0.2,Furnishings
OFF-AR-10000940,Newell 343,Office Supplies,True,False,0.0,2.2844211223663744,2.9698484809834995,8.82,0.0,Art
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,True,False,0.0,2.4731713935695794,3.295451410656816,10.86,0.0,Envelopes
OFF-PA-10004327,Xerox 1911,Office Supplies,True,False,0.0,4.974662633637438,11.987493482792804,143.7,0.0,Paper
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,True,False,0.0,6.733913665620719,28.972918389420144,839.43,0.0,Appliances
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,True,False,0.0,6.511641312348043,25.92161260415717,671.93,0.0,Storage
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,False,False,0.4472135954999579,4.552697248726974,9.689582034329447,93.888,0.2,Furnishings
TEC-PH-10000215,Easy-staple paper,Technology,False,True,0.0,5.954411482905271,19.60739656354204,384.45,0.0,Phones
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,False,True,0.0,5.017081141579645,12.24622390780113,149.97,0.0,Phones
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,False,False,0.0,7.577040002277407,44.179633316721855,1951.84,0.0,Chairs
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,True,False,0.0,5.150687049544013,13.097709723459287,171.55,0.0,Binders
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,True,False,0.4472135954999579,5.068400930946398,12.566622457924009,157.92,0.2,Appliances
TEC-PH-10001254,Easy-staple paper,Technology,False,True,0.4472135954999579,5.3190215481063285,14.254262520383158,203.184,0.2,Phones
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,True,False,0.0,4.083957469335614,7.640680597957226,58.38,0.0,Paper
OFF-PA-10002254,Xerox 1883,Office Supplies,True,False,0.0,4.668332760945732,10.272292830717006,105.52,0.0,Paper
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,True,False,0.0,4.405254760793088,8.993330862366847,80.88,0.0,Storage
OFF-AR-10001547,Newell 311,Office Supplies,True,False,0.0,2.032087845296365,2.5748786379167465,6.63,0.0,Art
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,False,False,0.4472135954999579,6.128108590405284,21.390839160724852,457.568,0.2,Chairs
OFF-LA-10002475,Avery 519,Office Supplies,True,False,0.0,2.74855214441154,3.823610858861032,14.62,0.0,Labels
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,False,True,0.0,6.852168570542386,30.739713726708647,944.93,0.0,Phones
OFF-PA-10002751,Xerox 1920,Office Supplies,True,False,0.0,1.9430489167742813,2.445403852127497,5.98,0.0,Paper
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,False,True,0.4472135954999579,4.0142907433757244,7.374550833779641,54.384,0.2,Accessories
OFF-EN-10001990,Staple envelope,Office Supplies,True,False,0.0,3.380994674344636,5.329165037789691,28.4,0.0,Envelopes
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,True,False,0.4472135954999579,3.35620001573142,5.261178575186362,27.68,0.2,Binders
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,True,False,0.4472135954999579,2.3920600994216485,3.1521421287752878,9.936,0.2,Art
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,False,True,0.6324555320336759,9.007116107819794,90.33245264023334,8159.952,0.4,Machines
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,True,False,0.4472135954999579,5.62375754460242,16.611080639139647,275.928,0.2,Storage
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,False,False,0.5477225575051661,7.462249402126681,41.7140264179808,1740.06,0.3,Chairs
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,True,False,0.4472135954999579,3.498445077209431,5.6625082781396445,32.064,0.2,Art
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,True,False,0.8944271909999159,5.187274067754712,13.340914511381891,177.98,0.8,Appliances
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,False,True,0.4472135954999579,4.976568211479705,11.99899995832986,143.976,0.2,Phones
OFF-PA-10000659,Easy-staple paper,Office Supplies,True,False,0.0,3.088311454847084,4.57602447545902,20.94,0.0,Paper
OFF-PA-10001144,Xerox 1913,Office Supplies,True,False,0.0,4.718141664647253,10.533755265810951,110.96,0.0,Paper
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,False,False,0.4472135954999579,5.83230467553532,18.44299324947011,340.144,0.2,Chairs
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,True,False,0.8944271909999159,3.978709218623176,7.2420991432042685,52.448,0.8,Appliances
OFF-LA-10003148,Avery 51,Office Supplies,True,False,0.4472135954999579,3.052112606990099,4.48998886412873,20.16,0.2,Labels
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,True,False,0.8944271909999159,4.587657734236793,9.862251264290522,97.264,0.8,Appliances
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,False,False,0.5477225575051661,5.98595439405932,19.919889557926773,396.802,0.3,Chairs
