Profit,Quantity_sqrt,Quantity,Discount,Sales
8.763,1.7320508,3,0.0,19.05
-114.3912,2.828427,8,0.2,831.936
1.213,1.4142135,2,0.2,97.04
-18.196,1.0,1,0.2,72.784
-1.9344,1.7320508,3,0.8,1.248
-5.8248,1.7320508,3,0.6,9.708
2.724,1.7320508,3,0.2,27.24
-14.475,2.236068,5,0.6,19.3
56.2032,1.0,1,0.0,208.16
8.0352,1.7320508,3,0.0,16.74
4.172,2.236068,5,0.0,14.9
6.2031,1.0,1,0.0,21.39
62.8075,2.6457512,7,0.2,200.984
-48.9549,1.7320508,3,0.2,230.376
33.2156,1.4142135,2,0.0,301.96
6.7966,1.0,1,0.0,19.99
2.9568,1.4142135,2,0.0,6.16
13.8572,2.6457512,7,0.2,158.368
6.633,1.7320508,3,0.0,20.1
8.2782,1.4142135,2,0.2,73.584
3.1104,1.0,1,0.0,6.48
6.2208,1.4142135,2,0.0,12.96
16.5354,1.7320508,3,0.0,53.34
16.1504,1.4142135,2,0.0,32.96
-3.788,1.0,1,0.7,5.682
40.5426,2.6457512,7,0.0,96.53
17.9592,1.7320508,3,0.2,51.312
22.5852,2.4494898,6,0.0,77.88
22.6184,2.6457512,7,0.2,64.624
-10.7973,1.7320508,3,0.2,95.976
-3.0396,1.7320508,3,0.8,1.788
11.7208,2.0,4,0.0,23.92
-26.8758,2.4494898,6,0.2,238.896
-3.8385,1.7320508,3,0.2,102.36
-25.8174,1.7320508,3,0.7,36.882
17.6016,2.828427,8,0.2,74.112
2.0994,1.0,1,0.2,27.992
1.0738,1.0,1,0.2,3.304
67.992,2.236068,5,0.2,339.96
10.9096,1.4142135,2,0.0,41.96
22.788,1.4142135,2,0.0,75.96
13.3476,2.4494898,6,0.0,27.24
14.5348,3.7416575,14,0.2,40.096
1.652,1.4142135,2,0.2,4.72
7.4925,1.7320508,3,0.2,23.976
44.0316,2.4494898,6,0.2,130.464
165.3813,1.7320508,3,0.0,787.53
-115.7156,1.0,1,0.7,157.794
18.3456,1.7320508,3,0.0,47.04
13.878,2.0,4,0.0,30.84
63.4368,2.4494898,6,0.0,226.56
51.759,3.0,9,0.0,115.02
19.7316,2.6457512,7,0.0,68.04
-8.5794,1.7320508,3,0.3,600.558
-407.682,2.4494898,6,0.5,617.7
-1.8308,1.4142135,2,0.7,2.388
30.499,2.6457512,7,0.2,243.992
-9.1602,1.4142135,2,0.2,81.424
26.2416,1.7320508,3,0.0,238.56
-11.994,2.236068,5,0.4,59.97
29.364,1.4142135,2,0.2,78.304
6.9732,3.0,9,0.2,21.456
9.6192,1.7320508,3,0.0,20.04
16.6568,1.0,1,0.0,35.44
3.456,2.0,4,0.0,11.52
1.9698,1.4142135,2,0.0,4.02
26.6616,1.7320508,3,0.2,76.176
18.4464,2.4494898,6,0.0,65.88
20.6976,3.7416575,14,0.0,43.12
10.35,1.4142135,2,0.2,82.8
2.3814,1.7320508,3,0.0,8.82
5.1042,1.7320508,3,0.0,10.86
68.976,1.7320508,3,0.0,143.7
218.2518,1.7320508,3,0.0,839.43
20.1579,2.6457512,7,0.0,671.93
12.9096,2.0,4,0.2,93.888
103.8015,3.3166249,11,0.0,384.45
5.9988,1.7320508,3,0.0,149.97
585.552,2.828427,8,0.0,1951.84
80.6285,2.236068,5,0.0,171.55
17.766,2.236068,5,0.2,157.92
15.2388,1.4142135,2,0.2,203.184
26.271,2.6457512,7,0.0,58.38
48.5392,2.0,4,0.0,105.52
21.0288,2.4494898,6,0.0,80.88
1.7901,1.7320508,3,0.0,6.63
51.4764,1.4142135,2,0.2,457.568
6.8714,1.4142135,2,0.0,14.62
236.2325,2.6457512,7,0.0,944.93
2.691,1.0,1,0.0,5.98
1.3596,1.4142135,2,0.2,54.384
13.348,2.236068,5,0.0,28.4
9.688,1.4142135,2,0.2,27.68
2.7324,1.7320508,3,0.2,9.936
-1359.992,2.828427,8,0.4,8159.952
-58.6347,1.7320508,3,0.2,275.928
-24.858,3.0,9,0.3,1740.06
6.8136,2.4494898,6,0.2,32.064
-453.849,2.236068,5,0.8,177.98
8.9985,1.7320508,3,0.2,143.976
9.8418,1.7320508,3,0.0,20.94
53.2608,1.4142135,2,0.0,110.96
21.259,2.6457512,7,0.2,340.144
-131.12,1.4142135,2,0.8,52.448
6.552,2.0,4,0.2,20.16
-243.16,2.0,4,0.8,97.264
-11.3372,2.6457512,7,0.3,396.802
-3.7715,2.236068,5,0.2,15.88
1.4104,1.0,1,0.0,3.28
1.8612,1.4142135,2,0.2,24.816
76.6395,2.6457512,7,0.2,408.744
131.0296,2.0,4,0.0,503.96
41.986,2.236068,5,0.0,149.95
7.25,1.4142135,2,0.0,29.0
3.4368,1.4142135,2,0.0,7.16
22.984,2.828427,8,0.0,176.8
3.7224,1.7320508,3,0.2,37.224
6.255,1.7320508,3,0.2,20.016
112.392,2.0,4,0.2,899.136
20.0928,2.4494898,6,0.0,71.76
24.8832,2.828427,8,0.0,51.84
46.9764,1.7320508,3,0.2,626.352
6.567,2.236068,5,0.0,19.9
6.7116,2.6457512,7,0.0,14.28
1.2038,1.4142135,2,0.2,7.408
1.5876,1.7320508,3,0.2,6.048
12.0276,1.7320508,3,0.0,46.26
-2.2586,1.4142135,2,0.7,2.946
5.8203,1.7320508,3,0.2,16.056
6.795,1.7320508,3,0.2,21.744
-161.875,1.4142135,2,0.5,218.75
0.2925,1.0,1,0.2,2.6
-178.9668,1.4142135,2,0.8,66.284
9.6712,2.6457512,7,0.2,35.168
44.4768,2.0,4,0.2,444.768
5.8744,2.0,4,0.0,83.92
35.6346,1.4142135,2,0.0,131.98
7.4824,2.0,4,0.0,15.92
16.2099,3.0,9,0.0,52.29
3.6796,1.0,1,0.0,91.99
6.5,1.4142135,2,0.2,20.8
8.88,1.4142135,2,0.2,23.68
-244.323,2.236068,5,0.5,452.45
-14.6958,1.7320508,3,0.4,62.982
-950.4,3.0,9,0.7,1188.0
4.4792,1.4142135,2,0.2,89.584
26.0568,2.4494898,6,0.0,93.06
22.6782,1.7320508,3,0.2,302.376
1.8148,1.4142135,2,0.2,5.584
8.2302,2.4494898,6,0.2,22.704
-13.8432,2.0,4,0.7,19.776
19.0848,2.0,4,0.2,72.704
-383.9904,2.0,4,0.7,479.988
2.7168,1.4142135,2,0.2,27.168
0.968,1.0,1,0.0,2.2
136.939,2.236068,5,0.0,622.45
0.2198,1.0,1,0.0,21.98
-28.2744,1.4142135,2,0.2,161.568
43.8408,2.828427,8,0.2,389.696
-12.432,2.6457512,7,0.7,18.648
-102.048,1.4142135,2,0.45,233.86
-248.2458,1.7320508,3,0.45,620.6145
-3.552,1.4142135,2,0.7,5.328
0.0,1.7320508,3,0.2,258.072
-7.7247,1.7320508,3,0.2,617.976
4.752,1.4142135,2,0.0,10.56
9.396,2.236068,5,0.2,25.92
-356.728,2.236068,5,0.6,419.68
-4.6752,1.7320508,3,0.6,11.688
11.1944,1.4142135,2,0.2,31.984
-120.513,2.236068,5,0.5,177.225
-2.8308,1.7320508,3,0.6,4.044
1.2038,1.4142135,2,0.2,7.408
580.5394,2.6457512,7,0.0,2001.86
41.68,1.4142135,2,0.0,166.72
23.94,2.4494898,6,0.0,47.88
496.0725,2.236068,5,0.0,1503.25
12.4416,2.0,4,0.0,25.92
28.1372,1.4142135,2,0.2,321.568
3.5767,1.0,1,0.0,7.61
636.0003,3.6055512,13,0.0,3347.37
22.5624,2.4494898,6,0.0,80.58
162.864,2.0,4,0.0,361.92
-8.4924,3.0,9,0.6,12.132
-19.5624,1.4142135,2,0.2,82.368
4.044,2.236068,5,0.2,53.92
56.6916,2.4494898,6,0.2,647.904
6.9258,1.7320508,3,0.0,20.37
6.6465,1.7320508,3,0.0,221.55
6.132,2.236068,5,0.2,17.52
-4.466,1.4142135,2,0.8,1.624
-509.997,1.7320508,3,0.4,3059.982
-251.9958,2.6457512,7,0.4,2519.958
28.7196,2.0,4,0.2,328.224
35.156,1.4142135,2,0.0,79.9
4.7304,1.7320508,3,0.2,14.016
0.3024,2.4494898,6,0.0,7.56
-7.4416,1.0,1,0.2,37.208
21.591,1.7320508,3,0.2,57.576
210.4936,2.0,4,0.0,725.84
92.3692,2.6457512,7,0.0,209.93
2.3232,1.7320508,3,0.0,5.28
4.095,1.7320508,3,0.2,10.92
4.0572,1.4142135,2,0.0,8.82
1.5548,1.0,1,0.0,5.98
4.0768,1.4142135,2,0.2,11.648
5.9072,2.0,4,0.2,18.176
5.9712,2.4494898,6,0.2,59.712
8.694,1.7320508,3,0.2,24.84
-3.432,2.236068,5,0.8,2.08
376.11,2.6457512,7,0.2,1114.4
51.942,2.236068,5,0.2,1038.84
47.844,2.236068,5,0.2,141.76
47.96,2.236068,5,0.2,239.8
10.8864,2.4494898,6,0.2,31.104
-169.372,2.6457512,7,0.7,254.058
24.316,1.4142135,2,0.2,194.528
-204.3145,2.236068,5,0.2,961.48
6.6836,2.6457512,7,0.2,19.096
6.2424,2.828427,8,0.2,18.496
54.3966,1.4142135,2,0.2,255.984
-48.7032,1.7320508,3,0.5,86.97
78.8592,2.828427,8,0.2,300.416
20.1558,1.7320508,3,0.2,230.352
-24.5646,1.7320508,3,0.2,218.352
-62.88,2.236068,5,0.7,78.6
9.2988,1.7320508,3,0.2,27.552
15.552,2.236068,5,0.0,32.4
10.8248,2.828427,8,0.0,1082.48
27.3168,1.7320508,3,0.0,56.91
38.024,2.0,4,0.0,77.6
6.5688,1.0,1,0.0,14.28
-131.445,1.7320508,3,0.5,219.075
12.864,1.4142135,2,0.0,26.8
2.8536,1.7320508,3,0.0,9.84
20.9208,1.7320508,3,0.0,45.48
83.868,2.4494898,6,0.0,289.2
2.0049,1.0,1,0.0,4.89
3.5948,2.0,4,0.2,15.136
52.5114,1.4142135,2,0.2,466.768
1.7136,1.0,1,0.2,15.232
2.0358,1.7320508,3,0.2,6.264
37.6422,1.7320508,3,0.0,87.54
22.298,1.4142135,2,0.2,178.384
5.4432,1.7320508,3,0.2,15.552
8.6744,2.0,4,0.2,99.136
24.1568,1.0,1,0.1,135.882
1995.99,1.4142135,2,0.0,3991.98
80.0226,2.4494898,6,0.0,275.94
129.6,2.0,4,0.0,360.0
13.071,1.0,1,0.0,43.57
3.58,1.4142135,2,0.0,7.16
81.744,2.4494898,6,0.2,251.52
34.9965,1.0,1,0.0,99.99
0.9995,1.0,1,0.2,15.992
-67.8762,1.7320508,3,0.4,290.898
3.389,1.4142135,2,0.2,54.224
-258.5016,2.0,4,0.3,786.744
33.831,3.1622777,10,0.2,100.24
-27.6936,2.4494898,6,0.7,37.764
-20.7,1.4142135,2,0.4,82.8
-13.816,1.4142135,2,0.7,20.724
-3.4272,1.7320508,3,0.7,4.896
1.6038,1.0,1,0.2,4.752
335.9944,1.4142135,2,0.2,959.984
4.49,2.0,4,0.2,14.368
2.7956,1.4142135,2,0.2,7.712
-17.4588,1.7320508,3,0.2,698.352
2.3312,2.0,4,0.0,4.96
1.116,2.0,4,0.2,17.856
-407.976,3.1622777,10,0.7,509.97
10.0724,3.6055512,13,0.2,30.992
8.3916,3.4641016,12,0.4,71.928
-2.22,2.0,4,0.2,88.8
4.7976,1.7320508,3,0.2,47.976
3.0996,1.7320508,3,0.0,7.56
11.5432,1.4142135,2,0.0,24.56
4.1472,1.4142135,2,0.0,12.96
2.3086,1.0,1,0.0,6.79
11.5432,1.4142135,2,0.0,24.56
1.0668,1.0,1,0.2,3.048
23.0864,2.0,4,0.0,49.12
1415.4296,2.0,4,0.2,4355.168
-4.8588,2.4494898,6,0.2,388.704
3.7996,1.4142135,2,0.0,8.26
6.9864,2.0,4,0.0,17.04
15.824,2.236068,5,0.0,34.4
11.325,2.236068,5,0.2,36.24
168.4384,2.828427,8,0.0,647.84
9.936,1.4142135,2,0.0,20.7
9.936,1.4142135,2,0.0,20.7
86.8704,1.7320508,3,0.1,488.646
1.4456,1.4142135,2,0.0,5.56
20.7328,2.828427,8,0.0,47.12
8.4784,2.0,4,0.0,211.96
10.44,2.0,4,0.0,23.2
0.1472,1.4142135,2,0.0,7.36
29.3412,2.6457512,7,0.0,104.79
271.4192,2.0,4,0.0,1043.92
9.396,2.236068,5,0.2,25.92
4.6746,1.7320508,3,0.2,53.424
-5.712,2.236068,5,0.7,8.16
179.1888,2.828427,8,0.2,1023.936
0.924,1.0,1,0.2,9.24
-29.94,3.1622777,10,0.2,479.04
30.98,2.0,4,0.2,99.136
-297.6848,2.6457512,7,0.3,1488.424
-20.3322,1.7320508,3,0.8,8.652
2.6811,1.7320508,3,0.2,23.832
-18.8728,2.0,4,0.8,12.176
25.48,2.6457512,7,0.0,50.96
17.3376,1.7320508,3,0.2,49.536
8.799,1.4142135,2,0.0,41.9
-157.0095,1.7320508,3,0.45,375.4575
-1.0497,1.7320508,3,0.2,83.976
-337.638,2.0,4,0.7,482.34
0.777,1.0,1,0.2,2.96
0.4264,1.0,1,0.2,2.624
7.884,2.0,4,0.2,23.36
13.5932,1.4142135,2,0.0,39.98
27.7182,1.4142135,2,0.2,246.384
701.9883,1.7320508,3,0.0,1799.97
-20.5623,1.7320508,3,0.8,12.462
25.5798,1.7320508,3,0.2,75.792
9.4924,1.4142135,2,0.0,49.96
6.2208,1.4142135,2,0.0,12.96
21.036,2.0,4,0.0,70.12
3.5952,1.7320508,3,0.2,35.952
-317.1528,2.0,4,0.32,2396.2656
-32.784,2.0,4,0.2,131.136
0.7198,1.4142135,2,0.2,57.584
3.4684,1.4142135,2,0.2,9.568
9.768,2.4494898,6,0.2,39.072
9.6957,1.7320508,3,0.0,35.91
37.7895,2.236068,5,0.0,179.95
434.9913,1.7320508,3,0.2,1199.976
13.3035,2.236068,5,0.0,27.15
-112.9527,2.6457512,7,0.2,1004.024
4.6464,1.0,1,0.0,9.68
13.608,3.0,9,0.0,28.35
27.4302,1.0,1,0.0,55.98
31.4548,3.6055512,13,0.15,1336.829
-18.4548,1.4142135,2,0.2,113.568
65.7342,2.6457512,7,0.0,139.86
26.8744,2.0,4,0.2,307.136
25.8984,2.828427,8,0.0,95.92
38.38,2.236068,5,0.2,383.8
2.8322,1.0,1,0.0,5.78
2.7028,2.0,4,0.0,9.32
7.015,1.0,1,0.0,15.25
56.5662,2.4494898,6,0.2,196.752
14.7056,2.0,4,0.0,56.56
8.502,1.7320508,3,0.0,32.7
225.264,2.0,4,0.0,866.4
11.076,1.4142135,2,0.0,28.4
138.2016,2.828427,8,0.0,287.92
30.0957,1.0,1,0.0,69.99
0.5004,2.4494898,6,0.2,6.672
-145.3508,1.4142135,2,0.7,189.588
76.6395,2.6457512,7,0.2,408.744
54.7425,2.236068,5,0.2,291.96
-0.7748,1.4142135,2,0.2,4.768
207.147,2.236068,5,0.0,714.3
-3.6892,1.4142135,2,0.7,4.812
-18.585,2.236068,5,0.2,247.8
43.1991,1.7320508,3,0.3,1007.979
113.6394,2.6457512,7,0.2,313.488
11.5536,2.828427,8,0.2,31.872
2.3094,1.7320508,3,0.1,207.846
3.666,1.0,1,0.0,12.22
23.3928,1.7320508,3,0.0,194.94
20.5755,1.7320508,3,0.0,70.95
42.0256,2.0,4,0.0,91.36
29.1528,1.7320508,3,0.0,242.94
10.584,2.6457512,7,0.0,22.05
1.3677,1.0,1,0.0,2.91
15.4752,1.7320508,3,0.0,59.52
9.7164,1.7320508,3,0.0,161.94
71.2476,2.4494898,6,0.0,263.88
7.9248,1.7320508,3,0.0,30.48
2.8536,1.7320508,3,0.0,9.84
9.1312,2.0,4,0.0,35.12
-75.8304,1.4142135,2,0.4,284.364
66.5408,1.4142135,2,0.2,665.408
24.9132,2.0,4,0.0,63.88
-24.294,1.4142135,2,0.2,129.568
-96.1146,1.7320508,3,0.3,747.558
3.348,1.4142135,2,0.2,8.928
36.372,2.0,4,0.0,103.92
377.9622,3.0,9,0.0,899.91
18.6006,1.7320508,3,0.2,51.312
7.068,2.236068,5,0.2,23.56
-814.4832,2.4494898,6,0.5,1272.63
-20.889,2.236068,5,0.7,28.485
-34.758,1.4142135,2,0.2,185.376
5.8704,1.4142135,2,0.2,78.272
-312.0614,2.6457512,7,0.6,254.744
-36.2352,1.4142135,2,0.32,205.3328
-7.9002,1.7320508,3,0.8,4.788
26.6304,1.0,1,0.0,55.48
3.4092,1.7320508,3,0.0,340.92
10.4784,1.4142135,2,0.15,222.666
87.996,2.0,4,0.2,703.968
24.9804,2.4494898,6,0.0,92.52
28.819,2.6457512,7,0.0,62.65
45.528,2.236068,5,0.0,94.85
7.182,2.4494898,6,0.2,95.76
19.296,1.7320508,3,0.0,40.2
6.615,2.236068,5,0.0,14.7
84.51,2.236068,5,0.0,704.25
1.9089,1.7320508,3,0.0,9.09
1.6688,1.4142135,2,0.0,5.96
57.5928,1.4142135,2,0.0,159.98
14.8,1.4142135,2,0.0,29.6
-30.245,2.236068,5,0.15,514.165
17.4975,2.236068,5,0.2,279.96
341.994,2.4494898,6,0.2,2735.952
0.5994,1.0,1,0.2,7.992
10.3974,1.4142135,2,0.2,63.984
6.1572,1.4142135,2,0.2,70.368
8.983,2.236068,5,0.0,449.15
5.0922,1.7320508,3,0.0,11.07
13.1572,1.4142135,2,0.0,93.98
-94.941,1.7320508,3,0.4,189.882
51.6558,1.4142135,2,0.0,105.42
40.3704,2.828427,8,0.2,119.616
81.8432,2.0,4,0.0,255.76
18.1176,1.4142135,2,0.2,241.568
22.869,3.0,9,0.0,69.3
-15.08,1.4142135,2,0.7,22.62
-11.9616,1.4142135,2,0.7,14.952
50.098,1.4142135,2,0.2,801.568
-1.9008,1.7320508,3,0.7,2.376
11.8871,1.0,1,0.2,32.792
5.373,2.236068,5,0.2,15.92
0.7398,1.0,1,0.0,2.74
2.1684,1.7320508,3,0.0,8.34
11.685,1.7320508,3,0.0,46.74
3177.475,2.236068,5,0.0,6354.95
40.416,1.7320508,3,0.0,126.3
12.1728,1.4142135,2,0.0,38.04
0.7152,1.7320508,3,0.2,7.152
1.7901,1.7320508,3,0.0,6.63
1.7052,1.4142135,2,0.0,5.88
1379.977,2.236068,5,0.0,2999.95
13.8915,1.7320508,3,0.0,51.45
5.382,1.4142135,2,0.0,11.96
56.301,1.7320508,3,0.0,1126.02
5.2877,1.0,1,0.2,18.392
-25.9136,1.4142135,2,0.2,129.568
-21.168,3.0,9,0.8,14.112
21.098,1.4142135,2,0.0,210.98
-12.4146,1.7320508,3,0.2,55.176
27.1666,1.4142135,2,0.0,66.26
10.434,2.236068,5,0.0,22.2
42.747,1.7320508,3,0.2,683.952
5.1408,1.7320508,3,0.2,45.696
-7.2672,1.7320508,3,0.2,36.336
-149.9058,1.0,1,0.2,666.248
19.692,2.4494898,6,0.2,52.512
11.92,1.0,1,0.2,190.72
2.397,1.7320508,3,0.0,47.94
274.386,2.236068,5,0.0,979.95
11.375,2.236068,5,0.0,22.75
1.4672,1.4142135,2,0.2,16.768
-68.1856,2.6457512,7,0.8,42.616
3.36,2.0,4,0.2,10.752
41.2938,1.7320508,3,0.0,152.94
70.98,2.0,4,0.0,283.92
206.316,2.4494898,6,0.0,468.9
38.0864,2.828427,8,0.2,380.864
-145.5246,3.0,9,0.2,646.776
7.264,1.4142135,2,0.2,58.112
6.2995,1.0,1,0.2,100.792
-84.2928,2.0,4,0.6,66.112
13.932,2.4494898,6,0.2,41.28
6.4128,1.4142135,2,0.0,13.36
15.642,3.0,9,0.2,250.272
-17.046,1.7320508,3,0.8,11.364
-1.744,2.236068,5,0.2,8.72
0.0,1.4142135,2,0.2,1121.568
6.0382,1.0,1,0.2,34.504
2.5707,1.7320508,3,0.2,10.824
310.9872,1.4142135,2,0.0,1295.78
3.4048,2.0,4,0.2,19.456
9.936,1.4142135,2,0.0,20.7
-217.048,2.0,4,0.2,1335.68
15.552,2.236068,5,0.0,32.4
16.614,1.7320508,3,0.0,42.6
27.3182,2.6457512,7,0.2,84.056
1.3,2.236068,5,0.2,13.0
3.7743,1.7320508,3,0.2,13.128
0.0,1.4142135,2,0.0,3.96
1.2006,1.0,1,0.0,2.61
46.797,1.7320508,3,0.2,374.376
45.0016,2.828427,8,0.0,91.84
27.3672,2.6457512,7,0.2,81.088
9.3312,1.7320508,3,0.0,19.44
0.0,1.7320508,3,0.2,451.152
34.776,2.6457512,7,0.0,72.45
6.4216,2.0,4,0.0,13.96
11.2266,2.6457512,7,0.2,33.264
4.0095,1.7320508,3,0.0,14.85
2.3814,1.7320508,3,0.0,8.82
78.7528,3.7416575,14,0.0,160.72
9.7608,2.0,4,0.0,19.92
2.19,1.4142135,2,0.0,7.3
8.714,1.4142135,2,0.2,69.712
-5.7148,1.0,1,0.6,8.792
1.5456,2.0,4,0.0,51.52
52.9173,1.7320508,3,0.2,470.376
9.2386,1.4142135,2,0.2,105.584
3.5046,1.7320508,3,0.2,31.152
-4.7481,2.6457512,7,0.7,6.783
30.4776,2.0,4,0.2,406.368
4.9686,1.0,1,0.0,70.98
144.5157,1.7320508,3,0.0,294.93
-20.1362,1.4142135,2,0.2,84.784
7.2576,2.0,4,0.2,20.736
-12.8961,1.7320508,3,0.7,16.821
3.6288,1.4142135,2,0.2,10.368
1.168,1.4142135,2,0.2,9.344
9.75,1.7320508,3,0.2,31.2
22.0748,1.4142135,2,0.0,76.12
434.9913,1.7320508,3,0.2,1199.976
55.745,2.236068,5,0.2,445.96
91.7728,2.828427,8,0.0,327.76
1.0178,1.4142135,2,0.2,11.632
-28.7964,1.7320508,3,0.4,143.982
-115.3544,2.0,4,0.4,494.376
0.73,1.4142135,2,0.2,5.84
17.847,1.0,1,0.2,142.776
5.1408,1.7320508,3,0.2,45.696
-5.5338,1.7320508,3,0.7,7.218
-31.6712,2.0,4,0.7,43.188
47.8152,1.7320508,3,0.2,131.904
-2.6256,1.4142135,2,0.7,3.282
2.3814,3.0,9,0.2,21.168
-10.1178,1.4142135,2,0.4,55.188
41.5773,1.7320508,3,0.2,369.576
5.6956,2.0,4,0.2,15.712
2.64,1.4142135,2,0.2,8.448
-157.9383,3.0,9,0.4,728.946
15.992,3.1622777,10,0.4,119.94
-2.7968,1.4142135,2,0.7,3.648
15.7872,1.4142135,2,0.0,40.48
3.0814,1.4142135,2,0.0,9.94
33.57,3.0,9,0.2,107.424
10.9939,1.0,1,0.0,37.91
27.2862,1.7320508,3,0.0,88.02
-14.773,2.236068,5,0.8,8.69
87.5684,1.4142135,2,0.0,301.96
178.901,2.236068,5,0.1,555.21
130.87,2.0,4,0.0,523.48
46.9278,3.0,9,0.0,161.82
12.0904,2.6457512,7,0.0,35.56
28.1764,1.4142135,2,0.0,97.16
5.1435,2.236068,5,0.2,15.24
6.0858,1.7320508,3,0.0,13.23
-51.7191,1.7320508,3,0.2,243.384
29.95,2.236068,5,0.2,119.8
30.0768,2.0,4,0.2,300.768
2.4585,1.7320508,3,0.2,17.88
85.5297,1.7320508,3,0.2,235.944
43.2234,1.7320508,3,0.0,392.94
-13.8468,1.7320508,3,0.7,18.882
12.2328,1.7320508,3,0.2,122.328
272.792,2.236068,5,0.0,1049.2
5.0128,2.0,4,0.2,15.424
6.0288,1.7320508,3,0.0,18.84
85.904,1.4142135,2,0.0,330.4
12.6,2.6457512,7,0.0,26.25
54.3332,2.0,4,0.0,132.52
3.1752,1.0,1,0.0,6.48
56.511,1.4142135,2,0.0,209.3
9.8625,2.236068,5,0.2,31.56
3.0144,1.4142135,2,0.2,30.144
6.068,2.0,4,0.0,14.8
22.6782,1.7320508,3,0.2,302.376
31.6,2.0,4,0.0,316.0
178.318,3.1622777,10,0.0,379.4
45.9754,1.4142135,2,0.0,97.82
10.312,2.828427,8,0.0,103.12
8.5164,1.4142135,2,0.2,113.552
-2.6544,1.4142135,2,0.7,3.318
45.3222,1.4142135,2,0.2,134.288
-50.098,1.4142135,2,0.3,701.372
-3.462,1.4142135,2,0.8,2.308
124.929,2.6457512,7,0.2,999.432
-135.765,3.7416575,14,0.2,724.08
-118.1295,2.236068,5,0.3,918.785
-4.2222,1.7320508,3,0.8,2.724
18.398,2.236068,5,0.0,459.95
5.2626,1.7320508,3,0.0,10.74
2.079,1.7320508,3,0.2,23.76
28.7064,1.7320508,3,0.2,85.056
28.6182,1.7320508,3,0.2,381.576
8.7285,2.236068,5,0.2,30.36
-14.3856,1.7320508,3,0.6,23.976
-71.8905,1.0,1,0.5,108.925
11.36,2.828427,8,0.2,36.352
1.7115,2.236068,5,0.2,19.56
16.5888,1.7320508,3,0.0,61.44
17.505,2.236068,5,0.0,38.9
40.7499,1.7320508,3,0.0,99.39
-7.392,1.7320508,3,0.8,2.688
4.5201,1.7320508,3,0.2,27.816
-41.262,1.7320508,3,0.6,82.524
-320.2395,1.7320508,3,0.8,182.994
4.6644,1.7320508,3,0.2,14.352
2.5984,1.4142135,2,0.0,64.96
18.522,2.0,4,0.0,68.6
-3839.9905,2.0,4,0.5,7999.98
14.651,1.4142135,2,0.2,167.44
