Ship Mode,Segment,City,State,Sub-Category,Sales,Quantity,Discount,Profit,Quantity_sqrt,Discount_sqrt,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West
Second Class,Consumer,West Jordan,Utah,Storage,55.5,2,0.0,9.99,1.4142135,0.0,False,True,False,False,False,False,False,True
Second Class,Consumer,San Francisco,California,Art,8.56,2,0.0,2.4824,1.4142135,0.0,False,True,False,False,False,False,False,True
Second Class,Consumer,San Francisco,California,Phones,213.48,3,0.2,16.011,1.7320508,0.4472136,False,True,False,False,False,False,False,True
Second Class,Consumer,San Francisco,California,Binders,22.72,4,0.2,7.384,2.0,0.4472136,False,True,False,False,False,False,False,True
Standard Class,Corporate,Fremont,Nebraska,Art,19.46,7,0.0,5.0596,2.6457512,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Fremont,Nebraska,Appliances,60.34,7,0.0,15.6884,2.6457512,0.0,False,False,True,True,False,False,False,False
Second Class,Consumer,Philadelphia,Pennsylvania,Chairs,71.372,2,0.3,-1.0196,1.4142135,0.5477226,False,True,False,False,False,True,False,False
Standard Class,Consumer,Orem,Utah,Tables,1044.63,3,0.0,240.2649,1.7320508,0.0,False,False,True,False,False,False,False,True
Second Class,Consumer,Los Angeles,California,Binders,11.648,2,0.2,4.2224,1.4142135,0.4472136,False,True,False,False,False,False,False,True
Second Class,Consumer,Los Angeles,California,Accessories,90.57,3,0.0,11.7741,1.7320508,0.0,False,True,False,False,False,False,False,True
Standard Class,Consumer,Philadelphia,Pennsylvania,Bookcases,3083.43,7,0.5,-1665.0522,2.6457512,0.70710677,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Binders,9.618,2,0.7,-7.0532,1.4142135,0.83666,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Furnishings,124.2,3,0.2,15.525,1.7320508,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Envelopes,3.264,2,0.2,1.1016,1.4142135,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Art,86.304,6,0.2,9.7092,2.4494898,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Binders,6.858,6,0.7,-5.715,2.4494898,0.83666,False,False,True,False,False,True,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,Art,15.76,2,0.2,3.546,1.4142135,0.4472136,False,False,True,False,False,True,False,False
Second Class,Home Office,Houston,Texas,Paper,29.472,3,0.2,9.9468,1.7320508,0.4472136,False,True,False,False,True,False,False,False
First Class,Corporate,Richardson,Texas,Phones,1097.544,7,0.2,123.4737,2.6457512,0.4472136,False,False,False,True,False,False,False,False
First Class,Corporate,Richardson,Texas,Furnishings,190.92,5,0.6,-147.963,2.236068,0.7745967,False,False,False,True,False,False,False,False
Standard Class,Home Office,Houston,Texas,Envelopes,113.328,9,0.2,35.415,3.0,0.4472136,False,False,True,False,True,False,False,False
Standard Class,Home Office,Houston,Texas,Bookcases,532.3992,3,0.32,-46.9764,1.7320508,0.56568545,False,False,True,False,True,False,False,False
Standard Class,Home Office,Houston,Texas,Chairs,212.058,3,0.3,-15.147,1.7320508,0.5477226,False,False,True,False,True,False,False,False
Standard Class,Home Office,Houston,Texas,Phones,371.168,4,0.2,41.7564,2.0,0.4472136,False,False,True,False,True,False,False,False
Standard Class,Corporate,Naperville,Illinois,Phones,147.168,4,0.2,16.5564,2.0,0.4472136,False,False,True,True,False,False,False,False
Standard Class,Corporate,Los Angeles,California,Storage,77.88,2,0.0,3.894,1.4142135,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,Melbourne,Florida,Storage,95.616,2,0.2,9.5616,1.4142135,0.4472136,False,False,True,True,False,False,True,False
First Class,Corporate,Eagan,Minnesota,Accessories,45.98,2,0.0,19.7714,1.4142135,0.0,False,False,False,True,False,False,False,False
First Class,Corporate,Eagan,Minnesota,Binders,17.46,2,0.0,8.2062,1.4142135,0.0,False,False,False,True,False,False,False,False
Second Class,Consumer,Westland,Michigan,Storage,211.96,4,0.0,8.4784,2.0,0.0,False,True,False,False,False,False,False,False
Standard Class,Consumer,Dover,Delaware,Accessories,45.0,3,0.0,4.95,1.7320508,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,Dover,Delaware,Phones,21.8,2,0.0,6.104,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Consumer,New Albany,Indiana,Binders,38.22,6,0.0,17.9634,2.4494898,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,New Albany,Indiana,Labels,75.18,6,0.0,35.3346,2.4494898,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,New Albany,Indiana,Furnishings,6.16,2,0.0,2.9568,1.4142135,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,New Albany,Indiana,Chairs,89.99,1,0.0,17.0981,1.0,0.0,False,False,True,False,False,False,False,False
Standard Class,Corporate,New York City,New York,Fasteners,15.26,7,0.0,6.2566,2.6457512,0.0,False,False,True,True,False,True,False,False
Standard Class,Corporate,New York City,New York,Phones,1029.95,5,0.0,298.6855,2.236068,0.0,False,False,True,True,False,True,False,False
First Class,Consumer,Troy,New York,Storage,208.56,6,0.0,52.14,2.4494898,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Paper,32.4,5,0.0,15.552,2.236068,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Chairs,319.41,5,0.1,7.098,2.236068,0.31622776,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Paper,14.56,2,0.0,6.9888,1.4142135,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Accessories,30.0,2,0.0,3.3,1.4142135,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Binders,48.48,4,0.2,16.362,2.0,0.4472136,False,False,False,False,False,True,False,False
First Class,Consumer,Troy,New York,Art,1.68,1,0.0,0.84,1.0,0.0,False,False,False,False,False,True,False,False
Standard Class,Consumer,Los Angeles,California,Accessories,13.98,2,0.0,6.1512,1.4142135,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Binders,25.824,6,0.2,9.3612,2.4494898,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Paper,146.73,3,0.0,68.9631,1.7320508,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Furnishings,79.76,4,0.0,22.3328,2.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Home Office,Chicago,Illinois,Chairs,213.115,5,0.3,-15.2225,2.236068,0.5477226,False,False,True,False,True,False,False,False
Standard Class,Corporate,Gilbert,Arizona,Art,1113.024,8,0.2,111.3024,2.828427,0.4472136,False,False,True,True,False,False,False,True
Standard Class,Corporate,Gilbert,Arizona,Phones,167.968,4,0.2,62.988,2.0,0.4472136,False,False,True,True,False,False,False,True
First Class,Consumer,Springfield,Virginia,Paper,75.88,2,0.0,35.6636,1.4142135,0.0,False,False,False,False,False,False,True,False
Standard Class,Consumer,New York City,New York,Binders,4.616,1,0.2,1.731,1.0,0.4472136,False,False,True,False,False,True,False,False
Second Class,Consumer,Jackson,Michigan,Paper,19.05,3,0.0,8.763,1.7320508,0.0,False,True,False,False,False,False,False,False
Standard Class,Consumer,Memphis,Tennessee,Chairs,831.936,8,0.2,-114.3912,2.828427,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Memphis,Tennessee,Furnishings,97.04,2,0.2,1.213,1.4142135,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Memphis,Tennessee,Storage,72.784,1,0.2,-18.196,1.0,0.4472136,False,False,True,False,False,False,True,False
First Class,Corporate,Houston,Texas,Binders,1.248,3,0.8,-1.9344,1.7320508,0.8944272,False,False,False,True,False,False,False,False
First Class,Corporate,Houston,Texas,Furnishings,9.708,3,0.6,-5.8248,1.7320508,0.7745967,False,False,False,True,False,False,False,False
First Class,Corporate,Houston,Texas,Storage,27.24,3,0.2,2.724,1.7320508,0.4472136,False,False,False,True,False,False,False,False
Second Class,Consumer,Houston,Texas,Furnishings,19.3,5,0.6,-14.475,2.236068,0.7745967,False,True,False,False,False,False,False,False
First Class,Corporate,Decatur,Alabama,Appliances,208.16,1,0.0,56.2032,1.0,0.0,False,False,False,True,False,False,True,False
First Class,Corporate,Decatur,Alabama,Binders,16.74,3,0.0,8.0352,1.7320508,0.0,False,False,False,True,False,False,True,False
Standard Class,Consumer,San Francisco,California,Art,14.9,5,0.0,4.172,2.236068,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Francisco,California,Storage,21.39,1,0.0,6.2031,1.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Corporate,Durham,North Carolina,Envelopes,200.984,7,0.2,62.8075,2.6457512,0.4472136,False,False,True,True,False,False,True,False
First Class,Home Office,Chicago,Illinois,Storage,230.376,3,0.2,-48.9549,1.7320508,0.4472136,False,False,False,False,True,False,False,False
Second Class,Consumer,Columbia,South Carolina,Chairs,301.96,2,0.0,33.2156,1.4142135,0.0,False,True,False,False,False,False,True,False
Standard Class,Consumer,Rochester,Minnesota,Accessories,19.99,1,0.0,6.7966,1.0,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Rochester,Minnesota,Labels,6.16,2,0.0,2.9568,1.4142135,0.0,False,False,True,False,False,False,False,False
Second Class,Home Office,Houston,Texas,Storage,158.368,7,0.2,13.8572,2.6457512,0.4472136,False,True,False,False,True,False,False,False
Standard Class,Corporate,Los Angeles,California,Art,20.1,3,0.0,6.633,1.7320508,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,Los Angeles,California,Phones,73.584,2,0.2,8.2782,1.4142135,0.4472136,False,False,True,True,False,False,False,True
Standard Class,Corporate,Los Angeles,California,Paper,6.48,1,0.0,3.1104,1.0,0.0,False,False,True,True,False,False,False,True
Second Class,Consumer,Minneapolis,Minnesota,Paper,12.96,2,0.0,6.2208,1.4142135,0.0,False,True,False,False,False,False,False,False
Second Class,Consumer,Minneapolis,Minnesota,Furnishings,53.34,3,0.0,16.5354,1.7320508,0.0,False,True,False,False,False,False,False,False
Second Class,Consumer,Minneapolis,Minnesota,Binders,32.96,2,0.0,16.1504,1.4142135,0.0,False,True,False,False,False,False,False,False
Standard Class,Home Office,Portland,Oregon,Binders,5.682,1,0.7,-3.788,1.0,0.83666,False,False,True,False,True,False,False,True
Second Class,Home Office,New York City,New York,Furnishings,96.53,7,0.0,40.5426,2.6457512,0.0,False,True,False,False,True,True,False,False
First Class,Consumer,San Francisco,California,Binders,51.312,3,0.2,17.9592,1.7320508,0.4472136,False,False,False,False,False,False,False,True
Standard Class,Corporate,Saint Paul,Minnesota,Appliances,77.88,6,0.0,22.5852,2.4494898,0.0,False,False,True,True,False,False,False,False
Standard Class,Home Office,Chicago,Illinois,Paper,64.624,7,0.2,22.6184,2.6457512,0.4472136,False,False,True,False,True,False,False,False
Standard Class,Home Office,Chicago,Illinois,Accessories,95.976,3,0.2,-10.7973,1.7320508,0.4472136,False,False,True,False,True,False,False,False
Standard Class,Home Office,Chicago,Illinois,Binders,1.788,3,0.8,-3.0396,1.7320508,0.8944272,False,False,True,False,True,False,False,False
Second Class,Consumer,Rochester,Minnesota,Paper,23.92,4,0.0,11.7208,2.0,0.0,False,True,False,False,False,False,False,False
Standard Class,Consumer,Aurora,Colorado,Accessories,238.896,6,0.2,-26.8758,2.4494898,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Aurora,Colorado,Furnishings,102.36,3,0.2,-3.8385,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Aurora,Colorado,Binders,36.882,3,0.7,-25.8174,1.7320508,0.83666,False,False,True,False,False,False,False,True
Standard Class,Consumer,Charlotte,North Carolina,Accessories,74.112,8,0.2,17.6016,2.828427,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Charlotte,North Carolina,Phones,27.992,1,0.2,2.0994,1.0,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Consumer,Charlotte,North Carolina,Art,3.304,1,0.2,1.0738,1.0,0.4472136,False,False,True,False,False,False,True,False
Standard Class,Home Office,Orland Park,Illinois,Accessories,339.96,5,0.2,67.992,2.236068,0.4472136,False,False,True,False,True,False,False,False
Standard Class,Corporate,New York City,New York,Furnishings,41.96,2,0.0,10.9096,1.4142135,0.0,False,False,True,True,False,True,False,False
Standard Class,Consumer,Urbandale,Iowa,Art,75.96,2,0.0,22.788,1.4142135,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Urbandale,Iowa,Binders,27.24,6,0.0,13.3476,2.4494898,0.0,False,False,True,False,False,False,False,False
Second Class,Consumer,Columbus,Ohio,Fasteners,40.096,14,0.2,14.5348,3.7416575,0.4472136,False,True,False,False,False,True,False,False
Second Class,Consumer,Columbus,Ohio,Envelopes,4.72,2,0.2,1.652,1.4142135,0.4472136,False,True,False,False,False,True,False,False
Second Class,Consumer,Columbus,Ohio,Paper,23.976,3,0.2,7.4925,1.7320508,0.4472136,False,True,False,False,False,True,False,False
Second Class,Consumer,Columbus,Ohio,Envelopes,130.464,6,0.2,44.0316,2.4494898,0.4472136,False,True,False,False,False,True,False,False
Standard Class,Consumer,Seattle,Washington,Tables,787.53,3,0.0,165.3813,1.7320508,0.0,False,False,True,False,False,False,False,True
Standard Class,Corporate,Bristol,Tennessee,Binders,157.794,1,0.7,-115.7156,1.0,0.83666,False,False,True,True,False,False,True,False
First Class,Consumer,Wilmington,Delaware,Furnishings,47.04,3,0.0,18.3456,1.7320508,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Wilmington,Delaware,Binders,30.84,4,0.0,13.878,2.0,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Wilmington,Delaware,Storage,226.56,6,0.0,63.4368,2.4494898,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Wilmington,Delaware,Envelopes,115.02,9,0.0,51.759,3.0,0.0,False,False,False,False,False,True,False,False
First Class,Consumer,Wilmington,Delaware,Phones,68.04,7,0.0,19.7316,2.6457512,0.0,False,False,False,False,False,True,False,False
Second Class,Home Office,Houston,Texas,Chairs,600.558,3,0.3,-8.5794,1.7320508,0.5477226,False,True,False,False,True,False,False,False
Standard Class,Consumer,Bloomington,Illinois,Tables,617.7,6,0.5,-407.682,2.4494898,0.70710677,False,False,True,False,False,False,False,False
Standard Class,Consumer,Phoenix,Arizona,Binders,2.388,2,0.7,-1.8308,1.4142135,0.83666,False,False,True,False,False,False,False,True
Standard Class,Consumer,Phoenix,Arizona,Storage,243.992,7,0.2,30.499,2.6457512,0.4472136,False,False,True,False,False,False,False,True
Second Class,Home Office,Los Angeles,California,Chairs,81.424,2,0.2,-9.1602,1.4142135,0.4472136,False,True,False,False,True,False,False,True
Second Class,Home Office,Los Angeles,California,Furnishings,238.56,3,0.0,26.2416,1.7320508,0.0,False,True,False,False,True,False,False,True
First Class,Corporate,Columbus,Ohio,Phones,59.97,5,0.4,-11.994,2.236068,0.6324555,False,False,False,True,False,True,False,False
First Class,Corporate,Columbus,Ohio,Paper,78.304,2,0.2,29.364,1.4142135,0.4472136,False,False,False,True,False,True,False,False
First Class,Corporate,Columbus,Ohio,Fasteners,21.456,9,0.2,6.9732,3.0,0.4472136,False,False,False,True,False,True,False,False
Standard Class,Consumer,Roseville,California,Paper,20.04,3,0.0,9.6192,1.7320508,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Paper,35.44,1,0.0,16.6568,1.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Art,11.52,4,0.0,3.456,2.0,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Fasteners,4.02,2,0.0,1.9698,1.4142135,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Binders,76.176,3,0.2,26.6616,1.7320508,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Supplies,65.88,6,0.0,18.4464,2.4494898,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Roseville,California,Furnishings,43.12,14,0.0,20.6976,3.7416575,0.0,False,False,True,False,False,False,False,True
Second Class,Corporate,Philadelphia,Pennsylvania,Furnishings,82.8,2,0.2,10.35,1.4142135,0.4472136,False,True,False,True,False,True,False,False
Standard Class,Corporate,San Francisco,California,Art,8.82,3,0.0,2.3814,1.7320508,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,San Francisco,California,Envelopes,10.86,3,0.0,5.1042,1.7320508,0.0,False,False,True,True,False,False,False,True
Standard Class,Corporate,San Francisco,California,Paper,143.7,3,0.0,68.976,1.7320508,0.0,False,False,True,True,False,False,False,True
Standard Class,Consumer,Independence,Missouri,Appliances,839.43,3,0.0,218.2518,1.7320508,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Pasadena,California,Storage,671.93,7,0.0,20.1579,2.6457512,0.0,False,False,True,False,False,False,False,True
Standard Class,Home Office,Newark,Ohio,Furnishings,93.888,4,0.2,12.9096,2.0,0.4472136,False,False,True,False,True,True,False,False
Standard Class,Corporate,Franklin,Wisconsin,Phones,384.45,11,0.0,103.8015,3.3166249,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Franklin,Wisconsin,Phones,149.97,3,0.0,5.9988,1.7320508,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Franklin,Wisconsin,Chairs,1951.84,8,0.0,585.552,2.828427,0.0,False,False,True,True,False,False,False,False
Standard Class,Corporate,Franklin,Wisconsin,Binders,171.55,5,0.0,80.6285,2.236068,0.0,False,False,True,True,False,False,False,False
First Class,Home Office,Scottsdale,Arizona,Appliances,157.92,5,0.2,17.766,2.236068,0.4472136,False,False,False,False,True,False,False,True
First Class,Home Office,Scottsdale,Arizona,Phones,203.184,2,0.2,15.2388,1.4142135,0.4472136,False,False,False,False,True,False,False,True
First Class,Corporate,San Jose,California,Paper,58.38,7,0.0,26.271,2.6457512,0.0,False,False,False,True,False,False,False,True
First Class,Corporate,San Jose,California,Paper,105.52,4,0.0,48.5392,2.0,0.0,False,False,False,True,False,False,False,True
First Class,Corporate,San Jose,California,Storage,80.88,6,0.0,21.0288,2.4494898,0.0,False,False,False,True,False,False,False,True
Standard Class,Home Office,Seattle,Washington,Art,6.63,3,0.0,1.7901,1.7320508,0.0,False,False,True,False,True,False,False,True
Second Class,Consumer,Seattle,Washington,Chairs,457.568,2,0.2,51.4764,1.4142135,0.4472136,False,True,False,False,False,False,False,True
Standard Class,Consumer,Edmond,Oklahoma,Labels,14.62,2,0.0,6.8714,1.4142135,0.0,False,False,True,False,False,False,False,False
Standard Class,Consumer,Edmond,Oklahoma,Phones,944.93,7,0.0,236.2325,2.6457512,0.0,False,False,True,False,False,False,False,False
First Class,Consumer,Los Angeles,California,Paper,5.98,1,0.0,2.691,1.0,0.0,False,False,False,False,False,False,False,True
Second Class,Consumer,Philadelphia,Pennsylvania,Accessories,54.384,2,0.2,1.3596,1.4142135,0.4472136,False,True,False,False,False,True,False,False
Standard Class,Consumer,Carlsbad,New Mexico,Envelopes,28.4,5,0.0,13.348,2.236068,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Seattle,Washington,Binders,27.68,2,0.2,9.688,1.4142135,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,San Antonio,Texas,Art,9.936,3,0.2,2.7324,1.7320508,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Machines,8159.952,8,0.4,-1359.992,2.828427,0.6324555,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Storage,275.928,3,0.2,-58.6347,1.7320508,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Chairs,1740.06,9,0.3,-24.858,3.0,0.5477226,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Art,32.064,6,0.2,6.8136,2.4494898,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Appliances,177.98,5,0.8,-453.849,2.236068,0.8944272,False,False,True,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Phones,143.976,3,0.2,8.9985,1.7320508,0.4472136,False,False,True,False,False,False,False,False
Standard Class,Consumer,Los Angeles,California,Paper,20.94,3,0.0,9.8418,1.7320508,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Paper,110.96,2,0.0,53.2608,1.4142135,0.0,False,False,True,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,Chairs,340.144,7,0.2,21.259,2.6457512,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Corporate,Chicago,Illinois,Appliances,52.448,2,0.8,-131.12,1.4142135,0.8944272,False,False,True,True,False,False,False,False
Standard Class,Corporate,Chicago,Illinois,Labels,20.16,4,0.2,6.552,2.0,0.4472136,False,False,True,True,False,False,False,False
Second Class,Consumer,Houston,Texas,Appliances,97.264,4,0.8,-243.16,2.0,0.8944272,False,True,False,False,False,False,False,False
Second Class,Consumer,Newark,Ohio,Chairs,396.802,7,0.3,-11.3372,2.6457512,0.5477226,False,True,False,False,False,True,False,False
Second Class,Consumer,Newark,Ohio,Supplies,15.88,5,0.2,-3.7715,2.236068,0.4472136,False,True,False,False,False,True,False,False
Standard Class,Home Office,New York City,New York,Art,3.28,1,0.0,1.4104,1.0,0.0,False,False,True,False,True,True,False,False
Second Class,Corporate,Decatur,Illinois,Storage,24.816,2,0.2,1.8612,1.4142135,0.4472136,False,True,False,True,False,False,False,False
Second Class,Corporate,Decatur,Illinois,Accessories,408.744,7,0.2,76.6395,2.6457512,0.4472136,False,True,False,True,False,False,False,False
Second Class,Home Office,Monroe,Louisiana,Phones,503.96,4,0.0,131.0296,2.0,0.0,False,True,False,False,True,False,True,False
Second Class,Home Office,Monroe,Louisiana,Phones,149.95,5,0.0,41.986,2.236068,0.0,False,True,False,False,True,False,True,False
Second Class,Home Office,Monroe,Louisiana,Accessories,29.0,2,0.0,7.25,1.4142135,0.0,False,True,False,False,True,False,True,False
Standard Class,Consumer,Fairfield,Connecticut,Binders,7.16,2,0.0,3.4368,1.4142135,0.0,False,False,True,False,False,True,False,False
Standard Class,Home Office,Los Angeles,California,Accessories,176.8,8,0.0,22.984,2.828427,0.0,False,False,True,False,True,False,False,True
Standard Class,Corporate,Grand Prairie,Texas,Storage,37.224,3,0.2,3.7224,1.7320508,0.4472136,False,False,True,True,False,False,False,False
Standard Class,Corporate,Grand Prairie,Texas,Paper,20.016,3,0.2,6.255,1.7320508,0.4472136,False,False,True,True,False,False,False,False
First Class,Home Office,New York City,New York,Bookcases,899.136,4,0.2,112.392,2.0,0.4472136,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Phones,71.76,6,0.0,20.0928,2.4494898,0.0,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Paper,51.84,8,0.0,24.8832,2.828427,0.0,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Bookcases,626.352,3,0.2,46.9764,1.7320508,0.4472136,False,False,False,False,True,True,False,False
First Class,Home Office,New York City,New York,Art,19.9,5,0.0,6.567,2.236068,0.0,False,False,False,False,True,True,False,False
Standard Class,Corporate,Redlands,California,Envelopes,14.28,7,0.0,6.7116,2.6457512,0.0,False,False,True,True,False,False,False,True
Standard Class,Consumer,Hamilton,Ohio,Art,7.408,2,0.2,1.2038,1.4142135,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Consumer,Hamilton,Ohio,Art,6.048,3,0.2,1.5876,1.7320508,0.4472136,False,False,True,False,False,True,False,False
Standard Class,Home Office,Westfield,New Jersey,Storage,46.26,3,0.0,12.0276,1.7320508,0.0,False,False,True,False,True,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Binders,2.946,2,0.7,-2.2586,1.4142135,0.83666,False,False,True,True,False,True,False,False
Standard Class,Corporate,Philadelphia,Pennsylvania,Paper,16.056,3,0.2,5.8203,1.7320508,0.4472136,False,False,True,True,False,True,False,False
Standard Class,Consumer,Akron,Ohio,Paper,21.744,3,0.2,6.795,1.7320508,0.4472136,False,False,True,False,False,True,False,False
First Class,Consumer,Denver,Colorado,Tables,218.75,2,0.5,-161.875,1.4142135,0.70710677,False,False,False,False,False,False,False,True
First Class,Consumer,Denver,Colorado,Appliances,2.6,1,0.2,0.2925,1.0,0.4472136,False,False,False,False,False,False,False,True
Second Class,Consumer,Dallas,Texas,Appliances,66.284,2,0.8,-178.9668,1.4142135,0.8944272,False,True,False,False,False,False,False,False
Standard Class,Corporate,Franklin,Tennessee,Furnishings,35.168,7,0.2,9.6712,2.6457512,0.4472136,False,False,True,True,False,False,True,False
Standard Class,Consumer,Whittier,California,Phones,444.768,4,0.2,44.4768,2.0,0.4472136,False,False,True,False,False,False,False,True
Standard Class,Consumer,Saginaw,Michigan,Storage,83.92,4,0.0,5.8744,2.0,0.0,False,False,True,False,False,False,False,False
