Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,False,False,False,False,True,True,False
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,True,False,False,False,False,True,False
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,True,False,False,False,False,True,False
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,False,False,True,False,False,False,False
Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.2649,False,False,False,False,True,False,False
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,False,False,False,False,True,True,False
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,False,False,False,False,True,False,True
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,False,False,True,False,False,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,False,False,True,False,False,True,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,False,False,True,False,False,False,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,False,False,True,False,False,True,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,False,False,True,False,False,True,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,False,False,True,False,False,True,False
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,False,False,True,False,False,True,False
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,False,True,False,False,False,True,False
First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,True,False,False,False,False,False,True
First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,True,False,False,False,False,False,False
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,False,True,False,False,False,True,False
Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,False,True,False,False,False,False,False
Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,False,True,False,False,False,False,False
Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,False,True,False,False,False,False,True
Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,True,False,False,False,False,False,True
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.894,True,False,False,False,True,True,False
Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,True,False,False,True,False,True,False
First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.7714,True,False,False,False,False,False,True
First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,True,False,False,False,False,True,False
Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,False,False,False,False,False,True,False
Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,False,False,True,False,False,False,True
Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.104,False,False,True,False,False,False,True
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,False,False,False,False,False,True,False
Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,False,False,False,False,False,True,False
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,False,False,False,False,False,False,False
Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0.0,17.0981,False,False,False,False,False,False,False
Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,True,False,True,False,False,True,False
Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.6855,True,False,True,False,False,False,True
First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0.0,52.14,False,False,True,False,False,True,False
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0.0,15.552,False,False,True,False,False,True,False
First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,False,False,True,False,False,False,False
First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0.0,6.9888,False,False,True,False,False,True,False
First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,False,False,True,False,False,False,True
First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362,False,False,True,False,False,True,False
First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0.0,0.84,False,False,True,False,False,True,False
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512,False,False,False,False,True,False,True
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0.0,68.9631,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.3328,False,False,False,False,True,False,False
Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,False,True,False,False,False,False,False
Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,True,False,False,False,True,True,False
Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,True,False,False,False,True,False,True
First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0.0,35.6636,False,False,False,True,False,True,False
Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731,False,False,True,False,False,True,False
Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0.0,8.763,False,False,False,False,False,True,False
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,False,False,False,True,False,False,False
Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,False,False,False,True,False,False,False
Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196,False,False,False,True,False,True,False
First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,True,False,False,False,False,True,False
First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,True,False,False,False,False,False,False
First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724,True,False,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,False,False,False,False,False,False,False
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,True,False,False,True,False,True,False
First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0.0,8.0352,True,False,False,True,False,True,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.172,False,False,False,False,True,True,False
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2031,False,False,False,False,True,True,False
Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,True,False,False,True,False,True,False
First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,False,True,False,False,False,True,False
Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0.0,33.2156,False,False,False,True,False,False,False
Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.7966,False,False,False,False,False,False,True
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,False,False,False,False,False,True,False
Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,False,True,False,False,False,True,False
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.633,True,False,False,False,True,True,False
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,True,False,False,False,True,False,True
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104,True,False,False,False,True,True,False
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,False,False,False,False,False,True,False
Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,False,False,False,False,False,False,False
Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,False,False,False,False,False,True,False
Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788,False,True,False,False,True,True,False
Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0.0,40.5426,False,True,True,False,False,False,False
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,False,False,False,False,True,True,False
Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,True,False,False,False,False,True,False
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,False,True,False,False,False,True,False
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,False,True,False,False,False,False,True
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,False,True,False,False,False,True,False
Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,False,False,False,False,False,True,False
Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,False,False,False,False,True,False,True
Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,False,False,False,False,True,False,False
Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,False,False,False,False,True,True,False
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,False,False,False,True,False,False,True
Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,False,False,False,True,False,False,True
Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,False,False,False,True,False,True,False
Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,False,True,False,False,False,False,True
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0.0,10.9096,True,False,True,False,False,False,False
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0.0,22.788,False,False,False,False,False,True,False
Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,False,False,False,False,False,True,False
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,False,False,True,False,False,True,False
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,False,False,True,False,False,True,False
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,False,False,True,False,False,True,False
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,False,False,True,False,False,True,False
Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0.0,165.3813,False,False,False,False,True,False,False
Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,True,False,False,True,False,True,False
First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0.0,18.3456,False,False,True,False,False,False,False
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0.0,13.878,False,False,True,False,False,True,False
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0.0,63.4368,False,False,True,False,False,True,False
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,False,False,True,False,False,True,False
First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.7316,False,False,True,False,False,False,True
Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,False,True,False,False,False,False,False
Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682,False,False,False,False,False,False,False
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,False,False,False,False,True,True,False
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499,False,False,False,False,True,True,False
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602,False,True,False,False,True,False,False
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.2416,False,True,False,False,True,False,False
First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,True,False,True,False,False,False,True
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,True,False,True,False,False,True,False
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,True,False,True,False,False,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.6568,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.456,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,False,False,False,False,True,True,False
Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0.0,20.6976,False,False,False,False,True,False,False
Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,True,False,True,False,False,False,False
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814,True,False,False,False,True,True,False
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,True,False,False,False,True,True,False
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0.0,68.976,True,False,False,False,True,True,False
Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,False,False,False,False,False,True,False
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0.0,20.1579,False,False,False,False,True,True,False
Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096,False,True,True,False,False,False,False
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8015,True,False,False,False,False,False,True
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,5.9988,True,False,False,False,False,False,True
Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0.0,585.552,True,False,False,False,False,False,False
Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,True,False,False,False,False,True,False
First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,False,True,False,False,True,True,False
First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,False,True,False,False,True,False,True
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.271,True,False,False,False,True,True,False
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392,True,False,False,False,True,True,False
First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.0288,True,False,False,False,True,True,False
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.7901,False,True,False,False,True,True,False
Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764,False,False,False,False,True,False,False
Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,False,False,False,False,False,True,False
Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.2325,False,False,False,False,False,False,True
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.691,False,False,False,False,True,True,False
Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,False,False,True,False,False,False,True
Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,False,False,False,False,True,True,False
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688,False,False,False,False,True,True,False
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324,False,False,False,False,False,True,False
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992,False,False,False,False,False,False,True
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,False,False,False,False,False,True,False
Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,False,False,False,False,False,False,False
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136,False,False,False,False,False,True,False
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,False,False,False,False,False,True,False
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985,False,False,False,False,False,False,True
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0.0,9.8418,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,0.0,53.2608,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259,False,False,False,False,True,False,False
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,True,False,False,False,False,True,False
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.552,True,False,False,False,False,True,False
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,False,False,False,False,False,True,False
Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,0.3,-11.3372,False,False,True,False,False,False,False
Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,False,False,True,False,False,True,False
Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,0.0,1.4104,False,True,True,False,False,True,False
Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,True,False,False,False,False,True,False
Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,True,False,False,False,False,False,True
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0.0,131.0296,False,True,False,True,False,False,True
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0.0,41.986,False,True,False,True,False,False,True
Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,2,0.0,7.25,False,True,False,True,False,False,True
Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0.0,3.4368,False,False,True,False,False,True,False
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0.0,22.984,False,True,False,False,True,False,True
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,True,False,False,False,False,True,False
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255,True,False,False,False,False,True,False
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,0.2,112.392,False,True,True,False,False,False,False
First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,6,0.0,20.0928,False,True,True,False,False,False,True
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,0.0,24.8832,False,True,True,False,False,True,False
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,0.2,46.9764,False,True,True,False,False,False,False
First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,0.0,6.567,False,True,True,False,False,True,False
Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,True,False,False,False,True,True,False
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2,0.2,1.2038,False,False,True,False,False,True,False
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,0.2,1.5876,False,False,True,False,False,True,False
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,0.0,12.0276,False,True,True,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,True,False,True,False,False,True,False
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,0.2,5.8203,True,False,True,False,False,True,False
Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,0.2,6.795,False,False,True,False,False,True,False
First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875,False,False,False,False,True,False,False
First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,False,False,False,False,True,True,False
Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,False,False,False,False,False,True,False
Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,0.2,9.6712,True,False,False,True,False,False,False
Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.768,4,0.2,44.4768,False,False,False,False,True,False,True
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,False,False,False,False,False,True,False
Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0.0,35.6346,False,False,False,False,False,False,True
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,False,False,False,False,False,True,False
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,False,False,False,False,False,True,False
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,False,False,False,False,False,True,False
Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5,True,False,False,False,False,False,True
Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88,True,False,True,False,False,True,False
Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.323,True,False,True,False,False,False,False
Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958,True,False,True,False,False,False,True
Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188.0,9,0.7,-950.4,True,False,True,False,False,False,True
Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792,True,False,True,False,False,False,True
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0.0,26.0568,False,False,False,False,True,True,False
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782,False,False,False,False,True,False,True
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,False,False,True,False,False,True,False
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,6,0.2,8.2302,False,False,True,False,False,True,False
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,False,False,True,False,False,True,False
