Month,Reporting Status,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Gross Floor Area - Buildings (sq ft),Year Built,Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Gross Floor Area - Buildings (sq ft)_log,Gross Floor Area - Buildings (sq ft)_sqrt,# of Buildings_log,# of Buildings_sqrt,Electricity Use (kBtu)_log,Electricity Use (kBtu)_sqrt,Natural Gas Use (kBtu)_log,Natural Gas Use (kBtu)_sqrt,Site EUI (kBtu/sq ft)_log,Site EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Site EUI (kBtu/sq ft)_log,Weather Normalized Site EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Total GHG Emissions (Metric Tons CO2e)_log,Total GHG Emissions (Metric Tons CO2e)_sqrt,GHG Intensity (kg CO2e/sq ft)_sqrt,Reporting Status_Not Submitted,Reporting Status_Submitted Data
Jan,Submitted Data,4.0,False,WEST TOWN,112734.0,2013.0,59.4,99.2,59.8,579.5,5.3,41.902252,-87.68448,"(41.90225377, -87.68447845)",11.632795,335.75885,0.6931472,1.0,14.644943,1513.9411481296097,15.244674,2043.3316911358272,4.1009893,7.7071395,4.607168,9.95992,4.1075897,7.733046,4.617099,10.009995,6.3638897,24.072805,2.302173,False,True
Jan,Submitted Data,1.0,False,NEAR WEST SIDE,1554884.0,1992.0,85.5,239.3,92.1,15316.5,13.3,41.880608,-87.63978,"(41.880609, -87.639778)",14.256912,1246.9498,0.6931472,1.0,18.401896,9906.514392055362,16.14037,3197.692493033061,4.4601445,9.246621,5.4818883,15.469324,4.5336742,9.596874,5.5560555,16.056152,9.636751,123.75985,3.6469164,False,True
Jan,Submitted Data,4.0,False,UPTOWN,50986.0,1916.0,71.8,89.7,76.5,237.5,4.7,41.97223,-87.6646,"(41.97223008, -87.6645957)",10.839326,225.8008,0.6931472,1.0,12.94262,646.3291730998997,14.992193,1800.9986396441282,4.287716,8.473488,4.5075574,9.471008,4.350278,8.746428,4.5612183,9.731393,5.4743695,15.411035,2.1679482,False,True
Jan,Submitted Data,2.5,False,BELMONT CRAGIN,150436.0,1907.0,81.4,137.8,88.0,1114.0,7.4,41.919018,-87.74788,"(41.91901757, -87.74788079)",11.9213,387.8608,0.6931472,1.0,15.321078,2122.9009633046944,15.860827,2780.5772961743032,4.4115853,9.022195,4.933034,11.738825,4.4886365,9.380832,4.982236,12.033287,7.0166097,33.37664,2.720294,False,True
Jan,Submitted Data,3.0,False,LAKE VIEW,56880.0,1928.0,92.9,117.6,103.1,347.8,6.1,41.93985,-87.65845,"(41.9398511, -87.65844752)",10.948717,238.49529,0.6931472,1.0,13.389175,808.0200492562051,15.34793,2151.595105962086,4.5422306,9.638465,4.7757564,10.844354,4.645352,10.153817,4.8574843,11.300443,5.854499,18.649397,2.4698179,False,True
Jan,Submitted Data,3.0,False,LAKE VIEW,155144.0,1968.0,73.6,111.0,77.6,780.6,5.9,41.93985,-87.65845,"(41.9398511, -87.65844752)",11.952115,393.88324,0.6931472,1.0,14.751674,1596.9272369146945,15.790084,2683.942193863348,4.3121405,8.579044,4.7184987,10.535654,4.364372,8.809086,4.755313,10.733127,6.661343,27.93922,2.4289916,False,True
Jan,Submitted Data,4.0,False,LOOP,464498.0,1920.0,55.2,107.1,57.7,2705.3,5.8,41.884743,-87.6325,"(41.88474397, -87.63249596)",13.048715,681.5409,0.6931472,1.0,16.383986,3611.911086945525,16.349215,3549.662167023786,4.028917,7.4296703,4.683057,10.348913,4.0724397,7.5960517,4.707727,10.47855,7.9033375,52.012497,2.408319,False,True
Jan,Submitted Data,1.0,False,DOUGLAS,289267.0,1960.0,129.1,164.1,137.5,2469.0,8.5,41.843643,-87.61673,"(41.84364282, -87.61673336)",12.575109,537.83545,0.6931472,1.0,15.365041,2170.082348667903,17.301266,5713.7615193495785,4.8683033,11.362218,5.106551,12.810152,4.9308705,11.726039,5.1584806,13.149144,7.8119736,49.689034,2.9154758,False,True
Jan,Submitted Data,3.5,False,Near South Side,1343820.0,2019.0,64.3,118.9,65.2,7151.1,6.4,41.865856,-87.61953,"(41.865858, -87.6195328)",14.111028,1159.2325,0.6931472,1.0,17.30049,5711.546655679178,17.473446,6227.45199098315,4.1789923,8.018728,4.7866583,10.904128,4.1926804,8.074652,4.7774415,10.853571,8.875161,84.56418,2.529822,False,True
Jan,Submitted Data,2.0,False,Near North Side,159968.0,2017.0,75.4,126.9,77.9,897.2,6.8,41.903767,-87.63983,"(41.9037676, -87.63983401)",11.982736,399.96,0.6931472,1.0,15.095108,1896.0986261268165,15.660449,2515.493768626748,4.335983,8.683317,4.8512487,11.26499,4.368181,8.8260975,4.879007,11.423659,6.8003926,29.953297,2.607681,False,True
Jan,Submitted Data,4.0,False,NEAR WEST SIDE,263250.0,1928.0,47.5,81.6,49.4,1155.5,4.4,41.88332,-87.667595,"(41.88332, -87.667592)",12.480864,513.0789,0.6931472,1.0,15.378355,2184.5766180200685,15.860746,2780.464026021556,3.881564,6.8920245,4.4140096,9.033272,3.9199913,7.0285134,4.4379344,9.143304,7.0531535,33.992645,2.0976176,False,True
Jan,Submitted Data,1.0,False,LINCOLN PARK,127900.0,2008.0,170.0,305.2,175.1,2108.4,16.5,41.92383,-87.656586,"(41.92382673, -87.65658512)",11.759012,357.6311,0.6931472,1.0,16.041492,3043.4486852910795,16.339521,3532.499355980125,5.1416636,13.038404,5.7242384,17.469975,5.171052,13.232535,5.738184,17.592611,7.6541586,45.917316,4.0620193,False,True
Jan,Submitted Data,2.0,False,NEAR WEST SIDE,178336.0,1924.0,72.6,130.2,74.9,1253.7,7.0,41.883213,-87.643364,"(41.88321395, -87.64336601)",12.091431,422.29846,0.6931472,1.0,15.520105,2345.0276544211583,15.822999,2728.4783854742186,4.298645,8.520563,4.876723,11.4105215,4.3294168,8.654479,4.891852,11.497826,7.1346517,35.407627,2.6457512,False,True
Jan,Submitted Data,4.0,False,Lake View,148500.0,2007.0,37.4,62.4,38.8,393.9,3.3,41.93934,-87.65423,"(41.9393396, -87.65423)",11.908347,385.35696,0.6931472,1.0,14.256994,1247.0012830787305,14.86183,1687.3499933327407,3.6480575,6.115554,4.1494637,7.899367,3.683867,6.228965,4.175925,8.0062475,5.9786325,19.846914,1.8165902,False,True
Jan,Submitted Data,4.0,False,CHICAGO LAWN,409910.0,1911.0,330.1,368.2,92.12,7707.5,18.8,41.770004,-87.69084,"(41.770003, -87.690841)",12.923696,640.2421,0.6931472,1.0,15.434917,2247.2413310545885,18.685127,11413.632296512798,5.8024206,18.168653,5.9113383,19.188538,4.533889,9.597917,5.1437664,13.052203,8.950079,87.792366,4.3358965,False,True
Jan,Submitted Data,2.5,False,NEAR NORTH SIDE,166700.0,1976.0,83.9,135.3,87.4,1092.7,7.2,41.910236,-87.63364,"(41.91023785, -87.63363509)",12.023957,408.28912,0.6931472,1.0,15.22158,2019.8726692541784,15.965509,2929.9914163696794,4.441474,9.159695,4.9148583,11.631853,4.481872,9.348797,4.9402127,11.781342,6.9973216,33.05601,2.6832817,False,True
Jan,Submitted Data,4.0,False,NEAR SOUTH SIDE,101333.0,2006.0,68.1,102.0,70.5,548.1,5.4,41.845505,-87.630554,"(41.84550365, -87.63055693)",11.526177,318.32846,0.6931472,1.0,14.381667,1327.2085367416832,15.453373,2268.073874458237,4.2355547,8.252273,4.634729,10.099504,4.2696977,8.396428,4.6549125,10.202941,6.3082805,23.411535,2.32379,False,True
Jan,Submitted Data,4.0,False,PORTAGE PARK,78111.0,1932.0,67.6,100.4,75.7,415.7,5.3,41.95925,-87.78262,"(41.95925122, -87.78261967)",11.265899,279.48346,0.6931472,1.0,14.088454,1146.2223606264188,15.193166,1991.3789443498692,4.2282925,8.221922,4.619073,10.01998,4.339902,8.700575,4.70592,10.469002,6.0323668,20.388721,2.302173,False,True
Jan,Submitted Data,1.5,False,WASHINGTON HEIGHTS,65505.0,2001.0,101.4,154.8,105.1,538.9,8.2,41.69818,-87.66237,"(41.6981819, -87.66236671)",11.089897,255.93945,0.6931472,1.0,14.407243,1344.2896265314257,15.391475,2198.9542969329764,4.6288867,10.0697565,5.048573,12.441865,4.664382,10.251829,5.068275,12.565826,6.2913837,23.21422,2.8635643,False,True
Jan,Submitted Data,4.0,False,NEAR NORTH SIDE,819946.0,2006.0,102.0,160.6,104.8,5072.3,8.6,41.8914,-87.6208,"(41.89139925, -87.62079715)",13.616995,905.50867,0.6931472,1.0,16.712994,4257.752270858416,17.558624,6498.405766032158,4.634729,10.099504,5.085124,12.672806,4.6615505,10.237187,5.105339,12.802343,8.531747,71.220085,2.9325757,False,True
Jan,Not Submitted,0.0,False,HERMOSA,53267.0,1951.2,69.78,104.04,72.58,286.2,5.5,41.93162,-87.74252,"(41.93162302, -87.74252593)",10.883091,230.79645,0.6931472,1.0,13.723595,955.0818289549854,14.811718,1645.5977819625305,4.2595763,8.353442,4.654341,10.2,4.298373,8.51939,4.687303,10.371114,5.6601787,16.917446,2.345208,True,False
Jan,Not Submitted,0.0,False,LAKE VIEW,96636.0,1961.4,83.62,119.8,87.72,557.8199999999999,6.32,41.95402,-87.662025,"(41.95402016, -87.6620278)",11.478717,310.8633,0.6931472,1.0,14.281357,1262.2840409353198,15.576923,2412.603075518225,4.4381704,9.144397,4.794136,10.945318,4.4854856,9.365895,4.824466,11.1139555,6.3258276,23.618214,2.513961,True,False
Jan,Submitted Data,0.0,True,LINCOLN SQUARE,61042.0,1927.0,58.3,77.1,63.5,246.1,4.0,41.968117,-87.68928,"(41.96811845, -87.68927436)",11.019334,247.06679,0.6931472,1.0,13.228628,745.6922957896239,14.9141655,1732.0872957215522,4.082609,7.6354437,4.3579903,8.780661,4.166665,7.9686885,4.427239,9.093954,5.5097933,15.687574,2.0,False,True
Jan,Submitted Data,2.0,False,UPTOWN,189225.0,1967.0,103.4,140.3,109.0,1207.3,7.4,41.96968,-87.65441,"(41.96968174, -87.6544131)",12.150698,435.0,0.6931472,1.0,14.905681,1724.75493911454,16.453737,3740.104450413117,4.6482296,10.168579,4.9508853,11.8448305,4.7004805,10.440307,4.991792,12.091319,7.0969696,34.746223,2.720294,False,True
Jan,Submitted Data,4.0,False,LINCOLN SQUARE,68141.0,1924.0,34.5,47.4,41.0,157.1,2.5,41.974197,-87.69687,"(41.97419798, -87.696868)",11.129349,261.0383,0.6931472,1.0,12.901298,633.1119964113774,14.392453,1334.3854015988034,3.5695326,5.87367,3.8795,6.8847656,3.7376697,6.4031243,4.0091496,7.3552704,5.0632277,12.533954,1.5811388,False,True
Jan,Submitted Data,2.0,False,ENGLEWOOD,188800.0,1979.0,103.2,175.2,107.5,1777.5,9.4,41.782055,-87.63427,"(41.78205573, -87.63426731)",12.148449,434.51123,0.6931472,1.0,15.791403,2685.7125683885088,16.322798,3503.0843837966563,4.646312,10.15874,5.17162,13.236314,4.68675,10.36822,5.1973915,13.408952,7.4835258,42.160408,3.065942,False,True
Jan,Not Submitted,0.0,False,UPTOWN,397000.0,1989.8,61.24,142.08,63.28,3070.92,7.82,41.974033,-87.65193,"(41.97403176, -87.65193469)",12.891694,630.07935,0.6931472,1.0,16.674156,4175.871865850291,16.622057,4068.4968870579214,4.1309977,7.825599,4.9634037,11.919731,4.1632485,7.9548726,4.9931498,12.0995865,8.030058,55.415882,2.7964263,True,False
Jan,Submitted Data,3.0,False,LOOP,311003.0,1958.0,93.6,148.7,98.4,2388.5,7.9,41.88109,-87.628586,"(41.88108964, -87.62858918)",12.647561,557.67645,0.6931472,1.0,15.974153,2942.68120937352,16.787216,4418.732895299285,4.5496573,9.674709,5.008633,12.194261,4.599152,9.919678,5.0414877,12.39758,7.7788396,48.872284,2.810694,False,True
Jan,Submitted Data,2.5,False,EDGEWATER,200000.0,1920.0,94.3,122.9,99.8,1283.1,6.4,41.97223,-87.6646,"(41.97223008, -87.6645957)",12.206078,447.2136,0.6931472,1.0,14.82164,1653.7818175321677,16.595654,4015.137980194454,4.5570297,9.710818,4.8194747,11.086027,4.613138,9.989995,4.865224,11.344603,7.1578135,35.820385,2.529822,False,True
Jan,Submitted Data,2.0,False,LOOP,344323.0,1912.0,74.9,131.2,78.1,1964.3,7.1,41.88327,-87.635124,"(41.88326842, -87.63512143)",12.749338,586.7904,0.6931472,1.0,15.937062,2888.6109810772373,16.338392,3530.5047089615955,4.3294168,8.654479,4.884316,11.454257,4.3707128,8.83742,4.908233,11.5931015,7.5834002,44.320423,2.6645825,False,True
Jan,Submitted Data,1.0,False,EAST GARFIELD PARK,68664.0,1981.0,90.8,192.3,93.7,723.0,10.5,41.880825,-87.72328,"(41.8808242, -87.72327934)",11.136995,262.03818,0.6931472,1.0,15.152093,1950.900663796084,14.703007,1558.5375195997049,4.5196123,9.528903,5.2642436,13.867228,4.550714,9.679876,5.297817,14.103191,6.584791,26.888659,3.2403703,False,True
Jan,Submitted Data,1.5,False,UPTOWN,114400.0,1957.0,79.3,109.4,84.0,657.7,5.7,41.95402,-87.662025,"(41.95402016, -87.6620278)",11.647465,338.23068,0.6931472,1.0,14.350316,1306.566416222306,15.81245,2714.125033965827,4.38577,8.905055,4.70411,10.459446,4.4426513,9.165152,4.7475376,10.691118,6.490268,25.645662,2.3874674,False,True
Jan,Submitted Data,2.0,False,NEAR NORTH SIDE,72000.0,2000.0,189.7,371.6,189.7,1455.6,20.2,41.89326,-87.62588,"(41.89325924, -87.62587447)",11.184435,268.32816,0.6931472,1.0,15.774564,2663.1954115310427,15.69726,2562.2216531752283,5.2507014,13.773162,5.9205055,19.27693,5.2507014,13.773162,5.9205055,19.27693,7.28386,38.152325,4.494441,False,True
Jan,Submitted Data,4.0,False,HYDE PARK,579783.0,1961.0,92.3,101.1,98.9,2775.5,5.1,41.795353,-87.59077,"(41.79535144, -87.59076509)",13.270411,761.4348,1.0986123,1.4142135,14.067945,1134.5276990889204,17.696508,6962.222252987906,4.53582,9.607289,4.6259527,10.05485,4.60417,9.944848,4.69043,10.387492,7.9289465,52.683014,2.258318,False,True
Jan,Submitted Data,2.0,False,NEAR NORTH SIDE,490568.0,2006.0,82.4,139.2,85.4,2837.8,7.5,41.89773,-87.63568,"(41.897733, -87.635684)",13.103321,700.4056,0.6931472,1.0,16.251009,3379.5738932593263,16.804548,4457.190953952949,4.4236484,9.077445,4.94307,11.798305,4.4589877,9.241212,4.9607444,11.903781,7.9511366,53.271004,2.738613,False,True
Jan,Not Submitted,0.0,False,LAKE VIEW,75300.0,1982.4,82.56,132.08,87.2,548.1,7.12,41.93985,-87.65845,"(41.9398511, -87.65844752)",11.229249,274.40845,0.6931472,1.0,14.464547,1383.363451880958,15.12145,1921.238048759185,4.425565,9.086253,4.8909507,11.492606,4.479607,9.338094,4.932025,11.73286,6.3082805,23.411535,2.6683328,True,False
Jan,Submitted Data,3.5,False,DOUGLAS,247000.0,1972.0,89.5,125.9,93.9,1638.4,6.6,41.84527,-87.62202,"(41.84526992, -87.62201708)",12.417148,496.99094,0.6931472,1.0,15.322105,2123.99218454306,16.682865,4194.093406208307,4.5053496,9.4604435,4.8433995,11.220517,4.5528235,9.690201,4.879007,11.423659,7.402086,40.477154,2.5690465,False,True
Jan,Submitted Data,2.0,False,SOUTH LAWNDALE,62071.0,1996.0,99.5,171.1,103.0,571.2,9.2,41.840908,-87.70508,"(41.840909, -87.705078)",11.03605,249.14052,0.6931472,1.0,14.675637,1537.3544483950343,15.153116,1951.899075259784,4.6101575,9.974969,5.1480756,13.08052,4.644391,10.148891,5.165357,13.194695,6.3494887,23.899792,3.0331502,False,True
Jan,Submitted Data,4.0,False,Lincoln Park,63110.0,1920.0,50.8,82.2,52.5,219.8,4.4,41.88425,-87.63245,"(41.8842525, -87.63245)",11.05265,251.21704,0.6931472,1.0,13.623927,908.6525188431494,14.352804,1308.1926845843468,3.94739,7.127412,4.4212475,9.0664215,3.9796817,7.2456884,4.433195,9.121404,5.3972573,14.825653,2.0976176,False,True
Jan,Submitted Data,1.0,False,NEAR NORTH SIDE,108587.0,1981.0,77.6,188.9,81.3,994.3,10.4,41.899216,-87.62541,"(41.8992147, -87.62541324)",11.595316,329.52542,0.6931472,1.0,15.581063,2417.602303936692,14.251035,1243.290633761873,4.364372,8.809086,5.2464976,13.74409,4.4103713,9.016651,5.297817,14.103191,6.903044,31.532522,3.224903,False,True
Jan,Submitted Data,4.0,False,UPTOWN,206154.0,1921.0,66.0,90.7,70.0,926.8,5.1,41.968655,-87.65524,"(41.96865627, -87.65524596)",12.236383,454.04184,0.6931472,1.0,14.62628,1499.8790951273372,16.037468,3037.3291063037605,4.204693,8.124039,4.5185223,9.523655,4.26268,8.3666,4.560173,9.7262535,6.832816,30.44339,2.258318,False,True
Jan,Submitted Data,4.0,False,LOOP,385000.0,2008.0,46.8,80.4,46.8,1665.4,4.3,41.873333,-87.62423,"(41.87333117, -87.62422947)",12.861001,620.4837,0.6931472,1.0,15.743423,2622.0497706946758,16.227283,3339.7172035967355,3.8670256,6.8410525,4.3993754,8.966604,3.8670256,6.8410525,4.3993754,8.966604,7.418421,40.80931,2.0736442,False,True
Jan,Submitted Data,1.5,False,NEAR NORTH SIDE,54000.0,1948.0,81.7,129.9,92.7,430.2,6.9,41.74246,-87.58007,"(41.74246, -87.58007)",10.896758,232.379,0.6931472,1.0,14.262694,1250.5602344549422,15.069373,1871.8574197838896,4.41522,9.038805,4.8744335,11.397368,4.540098,9.628084,4.9794884,12.016655,6.066572,20.741262,2.626785,False,True
Jan,Not Submitted,0.0,False,PORTAGE PARK,53018.0,1932.8,93.4,133.98,96.82,371.68,7.08,41.972004,-87.75757,"(41.97200414, -87.75756578)",10.878406,230.25638,0.6931472,1.0,13.892272,1039.1264215676551,15.15704,1955.7317045034576,4.547541,9.664368,4.9051266,11.574973,4.583129,9.839715,4.928702,11.713241,5.92072,19.279005,2.660827,True,False
Jan,Not Submitted,0.0,False,NEAR NORTH SIDE,137204.2,1954.0,413.5,481.4,415.02,4164.74,27.3,41.881252,-87.674484,"(41.88125398, -87.67448493)",11.829233,370.41086,0.6931472,1.0,15.73009,2604.627205570885,18.349417,9649.949626811527,6.027073,20.3347,6.178774,21.94083,6.030733,20.37204,6.1850147,22.009542,8.334649,64.5348,5.2249403,True,False
Jan,Submitted Data,1.0,False,WEST TOWN,52240.0,2005.0,107.6,191.0,111.8,537.6,10.3,41.902252,-87.68448,"(41.90225377, -87.68447845)",10.863623,228.56071,0.6931472,1.0,14.661195,1526.2929273242407,15.002378,1810.1933322162029,4.687671,10.373042,5.2574954,13.820275,4.7256165,10.573552,5.277094,13.957077,6.2889733,23.186203,3.2093613,False,True
Jan,Submitted Data,3.5,False,EDGEWATER,55129.0,2013.0,285.9,598.7,297.0,1805.3,32.7,41.97649,-87.65496,"(41.976491, -87.654964)",10.917449,234.79565,0.6931472,1.0,16.056726,3066.7173655229462,15.664662,2520.7984449376354,5.659134,16.908577,6.3964295,24.468348,5.6970935,17.233688,6.4157515,24.706274,7.499036,42.488823,5.7183914,False,True
Jan,Submitted Data,4.0,False,NEAR WEST SIDE,114000.0,1968.0,69.1,131.2,71.7,1424.6,7.1,41.881767,-87.64675,"(41.88176792, -87.6467544)",11.643963,337.63885,0.6931472,1.0,15.718544,2589.6340475055545,15.777814,2667.5269820566014,4.2499228,8.312641,4.884316,11.454257,4.286341,8.467586,4.919981,11.661903,7.262348,37.743874,2.6645825,False,True
Jan,Submitted Data,3.5,False,NEAR NORTH SIDE,66095.0,1905.0,60.4,123.3,62.8,444.7,6.7,41.89022,-87.63489,"(41.89022006, -87.63488473)",11.098864,257.08948,0.6931472,1.0,14.631054,1503.4634016164146,14.36405,1315.5694204412018,4.1174097,7.771744,4.822698,11.1040535,4.155753,7.924645,4.842611,11.21606,6.099646,21.087912,2.588436,False,True
Jan,Submitted Data,4.0,False,Rogers Park,124285.0,1930.0,61.6,124.8,65.2,846.0,6.8,42.000946,-87.658165,"(42.00094554, -87.65816364)",11.730341,352.54077,0.6931472,1.0,15.265729,2064.95646443212,15.0387,1843.368384235772,4.1367655,7.8485665,4.8346934,11.171392,4.1926804,8.074652,4.863681,11.335784,6.7417006,29.086079,2.607681,False,True
Jan,Submitted Data,0.0,False,HYDE PARK,225000.0,1991.0,88.22,128.84,92.56,1316.62,6.8,41.79372,-87.58111,"(41.7937214, -87.58110439)",12.32386,474.34164,0.6931472,1.0,15.204083,2002.2797107297472,16.291698,3449.034659147397,4.491105,9.39255,4.866303,11.350771,4.538603,9.6208105,4.898884,11.5386305,7.1835823,36.28526,2.607681,False,True
